,Trial number,Testcase,Alarm,Crash,Health,Operator log,Consistency,Differential,Custom,Is true alarm,CR change,Comment
,testrun-2024-02-18-15-43/trial-01-0000/0000,{},False,,,,,None,,,,
1,testrun-2024-02-18-15-43/trial-01-0000/0001,"{""field"": ""[\""spec\"", \""metadata\"", \""annotations\"", \""ACTOKEY\""]"", ""testcase"": ""string-change""}",True,message='Pod test-cluster-backup-khn6-r7ljv crashed',"message='pod: test-cluster-backup-khn6-r7ljv, pgo-76698867bf-b7qj9 container [operator] restart_count [1]'",,,None,,TRUE,Adding a dummy the actokey field in metadata annoation.,Please refer to the alarm-report.md for more details
,testrun-2024-02-18-15-43/trial-02-0000/0000,{},False,,,,,None,,,,
2,testrun-2024-02-18-15-43/trial-02-0000/0001,"{""field"": ""[\""spec\"", \""config\"", \""files\"", 0, \""configMap\"", \""name\""]"", ""testcase"": ""invalid-name""}",True,message='Pod test-cluster-backup-jrnq-8zxqh crashed',"message='statefulset: test-cluster-instance1-fvtw replicas [1] ready_replicas [None]\npod: test-cluster-backup-jrnq-8zxqh, test-cluster-backup-jrnq-dcl89, test-cluster-backup-jrnq-mrtj8, test-cluster-backup-jrnq-zpbg8, test-cluster-instance1-fvtw-0, pgo-76698867bf-npg5n container [operator] restart_count [4]'",,,None,,FALSE,Changing config map name to an invalid name.,test-cluster-backup is a job. Completed pod is marked as failed.
3,testrun-2024-02-18-15-43/trial-02-0001/0000,{},True,,message='pod: pgo-76698867bf-h6trs container [operator] restart_count [1]',,,None,,FALSE,No change is applied,test-cluster-backup is a job. Completed pod is marked as failed.
4,testrun-2024-02-18-15-43/trial-02-0002/0000,{},True,,"message='statefulset: test-cluster-instance1-ctcr replicas [0] ready_replicas [None], test-cluster-repo-host replicas [0] ready_replicas [None]\npod: test-cluster-instance1-ctcr-0'",,,None,,FALSE,No change is applied,Kind cluster is running slow. Multiple etcd request timeout happened.
,testrun-2024-02-18-15-43/trial-02-0003/0000,{},False,,,,,None,,,,
5,testrun-2024-02-18-15-43/trial-02-0003/0001,"{""field"": ""[\""spec\"", \""proxy\"", \""pgBouncer\"", \""containers\"", 0, \""envFrom\"", 0, \""secretRef\"", \""name\""]"", ""testcase"": ""invalid-name""}",True,,message='pod: pgo-76698867bf-4qdq9 container [operator] restart_count [1]',,,None,,FALSE,Changing the name of the secretRef used by pgBouncer container to an invalid one,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0004/0000,{},False,,,,,None,,,,
6,testrun-2024-02-18-15-43/trial-02-0004/0001,"{""field"": ""[\""spec\"", \""dataSource\"", \""pgbackrest\"", \""tolerations\"", 0]"", ""testcase"": ""k8s-plain_toleration""}",True,message='Pod test-cluster-backup-6ktx-lb9pw crashed',"message='pod: test-cluster-backup-6ktx-lb9pw, test-cluster-backup-6ktx-qlzvt, test-cluster-backup-6ktx-wdg6m, test-cluster-pgbackrest-restore-5pc9f, test-cluster-pgbackrest-restore-grrdf, test-cluster-pgbackrest-restore-rm7lc, test-cluster-pgbackrest-restore-ttfgb, test-cluster-pgbackrest-restore-wqss5, test-cluster-pgbackrest-restore-zdld5, pgo-76698867bf-sbwbb container [operator] restart_count [3]'",,,None,,FALSE,Modifying the toleration object of pgbackrest. Acto was able to match this object to k8s toleration,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0005/0000,{},False,,,,,None,,,,
7,testrun-2024-02-18-15-43/trial-02-0005/0001,"{""field"": ""[\""spec\"", \""dataSource\"", \""pgbackrest\"", \""tolerations\"", 0]"", ""testcase"": ""k8s-control_plane_toleration""}",True,message='Pod test-cluster-backup-5z7b-5cgch crashed',"message='pod: test-cluster-backup-5z7b-5cgch, test-cluster-backup-5z7b-gmgj9, test-cluster-backup-5z7b-pdhk7, test-cluster-pgbackrest-restore-2h4dd, test-cluster-pgbackrest-restore-7tdkz, test-cluster-pgbackrest-restore-9bjvj, test-cluster-pgbackrest-restore-dmgrq, test-cluster-pgbackrest-restore-lxtgx, test-cluster-pgbackrest-restore-rqg5l, pgo-76698867bf-qlpjb container [operator] restart_count [4]'",,,None,,FALSE,Modifying the toleration object of pgbackrest. Acto was able to match this object to k8s toleration,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0006/0000,{},False,,,,,None,,,,
8,testrun-2024-02-18-15-43/trial-02-0006/0001,"{""field"": ""[\""spec\"", \""dataSource\"", \""pgbackrest\"", \""tolerations\"", 0]"", ""testcase"": ""k8s-invalid_toleration""}",True,message='Pod test-cluster-backup-985z-wcrdb crashed',"message='pod: test-cluster-backup-985z-wcrdb, pgo-76698867bf-rt8cg container [operator] restart_count [1]'",,,None,,FALSE,Changing the toleration object of pgbackrest to an invalid one. Acto was able to match this object to k8s toleration,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0007/0000,{},False,,,,,None,,,,
9,testrun-2024-02-18-15-43/trial-02-0007/0001,"{""field"": ""[\""spec\"", \""monitoring\"", \""pgmonitor\"", \""exporter\"", \""configuration\"", 0, \""downwardAPI\"", \""items\"", 0, \""resourceFieldRef\"", \""divisor\""]"", ""testcase"": ""k8s-quantity_increase""}",True,message='Pod test-cluster-backup-bc9s-cbsh2 crashed',"message='statefulset: test-cluster-instance1-hpcw replicas [0] ready_replicas [None]\npod: test-cluster-backup-bc9s-cbsh2, pgo-76698867bf-8pg7c container [operator] restart_count [1]'",,,None,,FALSE,Increasing the postgres monitor's exposed metric divisor (aka. unit),test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0008/0000,{},False,,,,,None,,,,
10,testrun-2024-02-18-15-43/trial-02-0008/0001,"{""field"": ""[\""spec\"", \""monitoring\"", \""pgmonitor\"", \""exporter\"", \""configuration\"", 0, \""downwardAPI\"", \""items\"", 0, \""resourceFieldRef\"", \""divisor\""]"", ""testcase"": ""k8s-quantity_decrease""}",True,message='Pod test-cluster-backup-98js-qkmrc crashed',"message='statefulset: test-cluster-instance1-9r6p replicas [0] ready_replicas [None]\npod: test-cluster-backup-98js-qkmrc, pgo-76698867bf-q9nts container [operator] restart_count [1]'",,,None,,FALSE,Decreasing the postgres monitor's exposed metric divisor (aka. unit),test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0009/0000,{},False,,,,,None,,,,
