Trial number                                ,Testcase                                                                                                                                                                                      ,Alarm ,Crash ,Health ,Operator log ,Consistency                                                                                                                                                                                                                                   ,Differential                                                                                                                                      ,Custom
0710fa11958d72d457f1bfbf5bbd43b8/0000       ,0710fa11958d72d457f1bfbf5bbd43b8                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-01-0000/0009 -> 0710fa11958d72d457f1bfbf5bbd43b8/0000: failed attempt recovering to seed state - system state diff ,
0a9ca4c73a558f6f82222f93a71fd839/0000       ,0a9ca4c73a558f6f82222f93a71fd839                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-02-0006/0001 -> 0a9ca4c73a558f6f82222f93a71fd839/0000: failed attempt recovering to seed state - system state diff ,
0b1b71cc4d26c407b4c222a381ff4816/0000       ,0b1b71cc4d26c407b4c222a381ff4816                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-01-0000/0007 -> 0b1b71cc4d26c407b4c222a381ff4816/0000: failed attempt recovering to seed state - system state diff ,
0f15f31d5fc9e841fc1ef023e22add3f/0000       ,0f15f31d5fc9e841fc1ef023e22add3f                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-01-0001/0001 -> 0f15f31d5fc9e841fc1ef023e22add3f/0000: failed attempt recovering to seed state - system state diff ,
1d052c5df117cd9d85c237d3b103ef44/0000       ,1d052c5df117cd9d85c237d3b103ef44                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-01-0003/0005 -> 1d052c5df117cd9d85c237d3b103ef44/0000: failed attempt recovering to seed state - system state diff ,
20b8c2f49f384b8af429902aa7a04f31/0000       ,20b8c2f49f384b8af429902aa7a04f31                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-00-0000/0001 -> 20b8c2f49f384b8af429902aa7a04f31/0000: failed attempt recovering to seed state - system state diff ,
2e5e027a9d44a99306ac2b02a896e0d3/0000       ,2e5e027a9d44a99306ac2b02a896e0d3                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-02-0004/0001 -> 2e5e027a9d44a99306ac2b02a896e0d3/0000: failed attempt recovering to seed state - system state diff ,
32057edb3a82378275d64dfe6692a434/0000       ,32057edb3a82378275d64dfe6692a434                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-01-0003/0001 -> 32057edb3a82378275d64dfe6692a434/0000: failed attempt recovering to seed state - system state diff ,
34b29d43f98036d2a505832b565fb501/0000       ,34b29d43f98036d2a505832b565fb501                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-01-0002/0001 -> 34b29d43f98036d2a505832b565fb501/0000: failed attempt recovering to seed state - system state diff ,
