Trial number,Testcase,Crash,Health,Operator log,Consistency,Differential,Custom,Alarm,Comment
lab1_0229/trial-00-0000/0000,{},,,,,None,,,
lab1_0229/trial-00-0000/0001,"{""field"": ""[\""spec\"", \""affinity\"", \""tenancy\""]"", ""testcase"": ""string-deletion""}",,,,,None,,,
lab1_0229/trial-00-0000/0002,"{""field"": ""[\""spec\"", \""affinity\"", \""tenancy\""]"", ""testcase"": ""string-deletion""}",,,,,None,,,
lab1_0229/trial-00-0000/0003,"{""field"": """", ""testcase"": ""revert""}",,,,,None,,,
lab1_0229/trial-00-0000/0004,"{""field"": ""[\""spec\"", \""affinity\"", \""tenancy\""]"", ""testcase"": ""SharedNode""}",,,,,None,,,
lab1_0229/trial-00-0000/0005,"{""field"": ""[\""spec\"", \""affinity\"", \""tenancy\""]"", ""testcase"": ""DedicatedNode""}",,,,,None,,,
lab1_0229/trial-00-0000/0006,"{""field"": ""[\""spec\"", \""backup\"", \""method\""]"", ""testcase"": ""string-deletion""}",,,,,None,,,
lab1_0229/trial-00-0000/0007,"{""field"": ""[\""spec\"", \""backup\"", \""method\""]"", ""testcase"": ""string-deletion""}",,,,,None,,,
lab1_0229/trial-00-0000/0008,"{""field"": ""[\""spec\"", \""backup\"", \""method\""]"", ""testcase"": ""string-change""}",,,,,None,,,
lab1_0229/trial-00-0000/0009,"{""field"": ""[\""spec\"", \""backup\"", \""method\""]"", ""testcase"": ""string-empty""}",,,,,None,,,
lab1_0229/trial-00-0001/0000,{},,,,,None,,,
lab1_0229/trial-00-0001/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""configMapRefs\"", 0, \""configMap\"", \""optional\""]"", ""testcase"": ""boolean-deletion""}",,message='statefulset: test-cluster-redis replicas [1] ready_replicas [None]',,,None,,FALSE,"invalid field value of ""boolean-deletion"". Pod not created"
lab1_0229/trial-00-0002/0000,{},,,,,None,,,
lab1_0229/trial-00-0002/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""configMapRefs\"", 0, \""configMap\"", \""optional\""]"", ""testcase"": ""boolean-toggle-off""}",,message='statefulset: test-cluster-redis replicas [1] ready_replicas [None]',,,None,,FALSE,"invalid field value of ""boolean-toggle-off"". Pod not created"
lab1_0229/trial-00-0003/0000,{},,,,,None,,,
lab1_0229/trial-00-0003/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""configMapRefs\"", 0, \""configMap\"", \""optional\""]"", ""testcase"": ""boolean-toggle-on""}",,message='statefulset: test-cluster-redis replicas [1] ready_replicas [None]',,,None,,FALSE,"invalid field value of ""boolean-toggle-on"". Pod not created"
lab1_0229/trial-00-0004/0000,{},,,,,None,,,
lab1_0229/trial-00-0004/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""services\"", 0, \""annotations\"", \""ACTOKEY\""]"", ""testcase"": ""string-deletion""}",,,,,None,,,
lab1_0229/trial-00-0004/0002,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""services\"", 0, \""annotations\"", \""ACTOKEY\""]"", ""testcase"": ""string-deletion""}",,,,"message='Found no matching fields for input' input_diff=Diff(prev='ACTOKEY', curr='', path=[""spec"", ""componentSpecs"", 0, ""services"", 0, ""annotations"", ""ACTOKEY""]) system_state_diff=None",None,,FALSE,"ServiceType should be something like ""loadbalancer"", not ""ACTROKEY"""
lab1_0229/trial-00-0005/0000,{},,,,,None,,,
lab1_0229/trial-00-0006/0000,{},,,,,None,,,
lab1_0229/trial-00-0006/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""serviceRefs\"", 0, \""name\""]"", ""testcase"": ""string-deletion""}",,,,,None,,,
lab1_0229/trial-00-0006/0002,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""serviceRefs\"", 0, \""name\""]"", ""testcase"": ""string-deletion""}",,,,,None,,,
lab1_0229/trial-00-0006/0003,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""serviceRefs\"", 0, \""name\""]"", ""testcase"": ""string-change""}",,,,,None,,,
lab1_0229/trial-00-0006/0004,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""serviceRefs\"", 0, \""name\""]"", ""testcase"": ""string-empty""}",,,,,None,,,
lab1_0229/trial-00-0006/0005,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""secretRefs\"", 0, \""name\""]"", ""testcase"": ""string-deletion""}",,message='statefulset: test-cluster-redis replicas [1] ready_replicas [None]',,,None,,FALSE,"invalid field value of ""string-deletion"". Pod not created"
lab1_0229/trial-00-0007/0000,{},,,,,None,,,
lab1_0229/trial-00-0007/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""secretRefs\"", 0, \""name\""]"", ""testcase"": ""string-change""}",,message='statefulset: test-cluster-redis replicas [1] ready_replicas [None]',,,None,,FALSE,"invalid field value of ""string-change"". Pod not created"
lab1_0229/trial-00-0008/0000,{},,,,,None,,,
lab1_0229/trial-00-0008/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""secretRefs\"", 0, \""name\""]"", ""testcase"": ""string-empty""}",,,,,None,,,
lab1_0229/trial-00-0008/0002,"{""field"": """", ""testcase"": ""revert""}",,,,,None,,,
lab1_0229/trial-00-0008/0003,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""serviceRefs\"", 0, \""cluster\""]"", ""testcase"": ""string-deletion""}",,,,,None,,,
lab1_0229/trial-00-0008/0004,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""serviceRefs\"", 0, \""cluster\""]"", ""testcase"": ""string-deletion""}",,,,,None,,,
lab1_0229/trial-00-0008/0005,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""serviceRefs\"", 0, \""cluster\""]"", ""testcase"": ""string-change""}",,,,,None,,,
lab1_0229/trial-00-0008/0006,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""serviceRefs\"", 0, \""cluster\""]"", ""testcase"": ""string-empty""}",,,,,None,,,
lab1_0229/trial-00-0008/0007,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""resources\"", \""claims\""]"", ""testcase"": ""array-deletion""}",,,,,None,,,
lab1_0229/trial-00-0008/0008,"{""field"": """", ""testcase"": ""revert""}",,,,,None,,,
lab1_0229/trial-00-0009/0000,{},,,,,None,,,
lab1_0229/trial-00-0009/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""secretRefs\"", 0, \""secret\"", \""items\"", 0, \""mode\""]"", ""testcase"": ""number-deletion""}",,message='statefulset: test-cluster-redis replicas [1] ready_replicas [None]',,,None,,FALSE,"invalid field value of ""number-deletion"". Pod not created"
lab1_0229/trial-00-0010/0000,{},,,,,None,,,
lab1_0229/trial-00-0010/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""secretRefs\"", 0, \""secret\"", \""items\"", 0, \""mode\""]"", ""testcase"": ""number-change""}",,message='statefulset: test-cluster-redis replicas [1] ready_replicas [None]',,,None,,FALSE,"invalid field value of ""number-change"". Pod not created"
lab1_0229/trial-00-0011/0000,{},,,,,None,,,
lab1_0229/trial-00-0011/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""secretRefs\"", 0, \""secret\""]"", ""testcase"": ""object-deletion""}",,message='statefulset: test-cluster-redis replicas [1] ready_replicas [None]',,,None,,FALSE,"invalid field value of ""object-deletion"". Pod not created"
lab1_0229/trial-00-0012/0000,{},,,,,None,,,
lab1_0229/trial-00-0012/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""secretRefs\"", 0, \""secret\""]"", ""testcase"": ""object-empty""}",,message='statefulset: test-cluster-redis replicas [1] ready_replicas [None]',,,None,,FALSE,"invalid field value of ""object-empty"". Pod not created"
lab1_0229/trial-00-0013/0000,{},,,,,None,,,
lab1_0229/trial-00-0013/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""classDefRef\""]"", ""testcase"": ""object-deletion""}",,,,,None,,,
lab1_0229/trial-00-0013/0002,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""classDefRef\""]"", ""testcase"": ""object-deletion""}",,,,,None,,,
lab1_0229/trial-00-0013/0003,"{""field"": """", ""testcase"": ""revert""}",,,,,None,,,
