Trial number,Testcase,Alarm,Crash,Health,Operator log,Consistency,Differential,Custom
048b4436758b833105149227521780e6/0000,048b4436758b833105149227521780e6,False,,,,,testrun-2024-02-21-00-08/trial-01-0021/0006 -> 048b4436758b833105149227521780e6/0000: failed attempt recovering to seed state - system state diff,
1057cf5bccf9aa4bbafbc3c1a9987350/0000,1057cf5bccf9aa4bbafbc3c1a9987350,False,,,,,testrun-2024-02-21-00-08/trial-05-0030/0004 -> 1057cf5bccf9aa4bbafbc3c1a9987350/0000: failed attempt recovering to seed state - system state diff,
10f2cb688305c601440c77c8dbf4e6d8/0000,10f2cb688305c601440c77c8dbf4e6d8,False,,,,,testrun-2024-02-21-00-08/trial-01-0024/0002 -> 10f2cb688305c601440c77c8dbf4e6d8/0000: failed attempt recovering to seed state - system state diff,
13552e79b403625619ed3e66b5b4db8a/0000,13552e79b403625619ed3e66b5b4db8a,False,,,,,testrun-2024-02-21-00-08/trial-05-0031/0009 -> 13552e79b403625619ed3e66b5b4db8a/0000: failed attempt recovering to seed state - system state diff,
160ef2c00535de19889f3e725d3c5a60/0000,160ef2c00535de19889f3e725d3c5a60,False,,,,,testrun-2024-02-21-00-08/trial-01-0023/0009 -> 160ef2c00535de19889f3e725d3c5a60/0000: failed attempt recovering to seed state - system state diff,
17d36dc7f90589dce7f515b88d0bbfb3/0000,17d36dc7f90589dce7f515b88d0bbfb3,False,,,,,testrun-2024-02-21-00-08/trial-01-0015/0002 -> 17d36dc7f90589dce7f515b88d0bbfb3/0000: failed attempt recovering to seed state - system state diff,
18a41a0f1399f483f5ab69717c2b4189/0000,18a41a0f1399f483f5ab69717c2b4189,False,,,,,testrun-2024-02-21-00-08/trial-01-0024/0003 -> 18a41a0f1399f483f5ab69717c2b4189/0000: failed attempt recovering to seed state - system state diff,
18baf287e95bbd457a05437b3642cd93/0000,18baf287e95bbd457a05437b3642cd93,False,,,,,testrun-2024-02-21-00-08/trial-01-0012/0002 -> 18baf287e95bbd457a05437b3642cd93/0000: failed attempt recovering to seed state - system state diff,
25ad4ac1dfa711236319310ab11377a6/0000,25ad4ac1dfa711236319310ab11377a6,False,,,,,testrun-2024-02-21-00-08/trial-00-0006/0002 -> 25ad4ac1dfa711236319310ab11377a6/0000: failed attempt recovering to seed state - system state diff,
280f954d717f33476e0a0f8c46fea7a9/0000,280f954d717f33476e0a0f8c46fea7a9,False,,,,,testrun-2024-02-21-00-08/trial-05-0024/0007 -> 280f954d717f33476e0a0f8c46fea7a9/0000: failed attempt recovering to seed state - system state diff,
38f10af10ab56a95464f07b0de8879da/0000,38f10af10ab56a95464f07b0de8879da,False,,,,,testrun-2024-02-21-00-08/trial-01-0015/0008 -> 38f10af10ab56a95464f07b0de8879da/0000: failed attempt recovering to seed state - system state diff,
39e5095cc4289a58b17c0a6e0caf4495/0000,39e5095cc4289a58b17c0a6e0caf4495,False,,,,,testrun-2024-02-21-00-08/trial-05-0004/0001 -> 39e5095cc4289a58b17c0a6e0caf4495/0000: failed attempt recovering to seed state - system state diff,
44373a5727bc2b470bb2f1658fd21cb4/0000,44373a5727bc2b470bb2f1658fd21cb4,False,,,,,testrun-2024-02-21-00-08/trial-05-0022/0007 -> 44373a5727bc2b470bb2f1658fd21cb4/0000: failed attempt recovering to seed state - system state diff,
44abdc77fe7fa9f8d8182ef8546e71df/0000,44abdc77fe7fa9f8d8182ef8546e71df,False,,,,,testrun-2024-02-21-00-08/trial-05-0032/0002 -> 44abdc77fe7fa9f8d8182ef8546e71df/0000: failed attempt recovering to seed state - system state diff,
597fe15a4c6b50ba68e4bfe321097a58/0000,597fe15a4c6b50ba68e4bfe321097a58,False,,,,,testrun-2024-02-21-00-08/trial-07-0003/0010 -> 597fe15a4c6b50ba68e4bfe321097a58/0000: failed attempt recovering to seed state - system state diff,
5bd9ff354bc20eadb2a16af7d243f111/0000,5bd9ff354bc20eadb2a16af7d243f111,False,,,,,testrun-2024-02-21-00-08/trial-01-0018/0006 -> 5bd9ff354bc20eadb2a16af7d243f111/0000: failed attempt recovering to seed state - system state diff,
5de0cd2fda5d7bf3161e6b76610b9a0a/0000,5de0cd2fda5d7bf3161e6b76610b9a0a,False,,,,,testrun-2024-02-21-00-08/trial-01-0023/0010 -> 5de0cd2fda5d7bf3161e6b76610b9a0a/0000: failed attempt recovering to seed state - system state diff,
67654ff3d4404a9be61d37eeb1df7e36/0000,67654ff3d4404a9be61d37eeb1df7e36,False,,,,,testrun-2024-02-21-00-08/trial-07-0003/0005 -> 67654ff3d4404a9be61d37eeb1df7e36/0000: failed attempt recovering to seed state - system state diff,
7075beb3869f65295b2bb566dc5fcc51/0000,7075beb3869f65295b2bb566dc5fcc51,False,,,,,testrun-2024-02-21-00-08/trial-01-0000/0001 -> 7075beb3869f65295b2bb566dc5fcc51/0000: failed attempt recovering to seed state - system state diff,
75d1a089932b22951d323cdce40f4aaa/0000,75d1a089932b22951d323cdce40f4aaa,False,,,,,testrun-2024-02-21-00-08/trial-01-0000/0002 -> 75d1a089932b22951d323cdce40f4aaa/0000: failed attempt recovering to seed state - system state diff,
7b5e3c221442ac5f2cb8d9c656014a50/0000,7b5e3c221442ac5f2cb8d9c656014a50,False,,,,,testrun-2024-02-21-00-08/trial-07-0017/0001 -> 7b5e3c221442ac5f2cb8d9c656014a50/0000: failed attempt recovering to seed state - system state diff,
7e7b057400f47536d767ea5f1665c344/0000,7e7b057400f47536d767ea5f1665c344,False,,,,,testrun-2024-02-21-00-08/trial-01-0025/0007 -> 7e7b057400f47536d767ea5f1665c344/0000: failed attempt recovering to seed state - system state diff,
8a7d77812aadad9808038c06fba2b382/0000,8a7d77812aadad9808038c06fba2b382,False,,,,,testrun-2024-02-21-00-08/trial-01-0012/0005 -> 8a7d77812aadad9808038c06fba2b382/0000: failed attempt recovering to seed state - system state diff,
92c32ed50c23da263b184f0aeb68c38d/0000,92c32ed50c23da263b184f0aeb68c38d,False,,,,,testrun-2024-02-21-00-08/trial-05-0007/0004 -> 92c32ed50c23da263b184f0aeb68c38d/0000: failed attempt recovering to seed state - system state diff,
94c80a445147c0745d6b3eec3051f35b/0000,94c80a445147c0745d6b3eec3051f35b,False,,,,,testrun-2024-02-21-00-08/trial-02-0008/0004 -> 94c80a445147c0745d6b3eec3051f35b/0000: failed attempt recovering to seed state - system state diff,
96b58f7c75d3d6698b2c598dc1d52507/0000,96b58f7c75d3d6698b2c598dc1d52507,False,,,,,testrun-2024-02-21-00-08/trial-00-0006/0001 -> 96b58f7c75d3d6698b2c598dc1d52507/0000: failed attempt recovering to seed state - system state diff,
9b8d531e79d913354733b44a69193e87/0000,9b8d531e79d913354733b44a69193e87,False,,,,,testrun-2024-02-21-00-08/trial-05-0027/0001 -> 9b8d531e79d913354733b44a69193e87/0000: failed attempt recovering to seed state - system state diff,
9d1ca2dd22fba9dc3cd3a77a60757ad8/0000,9d1ca2dd22fba9dc3cd3a77a60757ad8,False,,,,,testrun-2024-02-21-00-08/trial-00-0002/0003 -> 9d1ca2dd22fba9dc3cd3a77a60757ad8/0000: failed attempt recovering to seed state - system state diff,
9d204e4a856e8392b2c02fe476aefabd/0000,9d204e4a856e8392b2c02fe476aefabd,False,,,,,testrun-2024-02-21-00-08/trial-05-0023/0001 -> 9d204e4a856e8392b2c02fe476aefabd/0000: failed attempt recovering to seed state - system state diff,
a9aa9daa79d647986f3aabbe072f2975/0000,a9aa9daa79d647986f3aabbe072f2975,False,,,,,testrun-2024-02-21-00-08/trial-01-0012/0001 -> a9aa9daa79d647986f3aabbe072f2975/0000: failed attempt recovering to seed state - system state diff,
aa22bb6159a956d66ed4b7085ddcc21d/0000,aa22bb6159a956d66ed4b7085ddcc21d,False,,,,,testrun-2024-02-21-00-08/trial-07-0003/0009 -> aa22bb6159a956d66ed4b7085ddcc21d/0000: failed attempt recovering to seed state - system state diff,
ac5735c9fbd3f18c9391f525b050984d/0000,ac5735c9fbd3f18c9391f525b050984d,False,,,,,testrun-2024-02-21-00-08/trial-05-0022/0003 -> ac5735c9fbd3f18c9391f525b050984d/0000: failed attempt recovering to seed state - system state diff,
b2fbe6c8c1c7e34c34c9c344981e0ed9/0000,b2fbe6c8c1c7e34c34c9c344981e0ed9,False,,,,,testrun-2024-02-21-00-08/trial-05-0025/0001 -> b2fbe6c8c1c7e34c34c9c344981e0ed9/0000: failed attempt recovering to seed state - system state diff,
b7666b0ecef1de6988379ff738b6c5a5/0000,b7666b0ecef1de6988379ff738b6c5a5,False,,,,,testrun-2024-02-21-00-08/trial-07-0003/0006 -> b7666b0ecef1de6988379ff738b6c5a5/0000: failed attempt recovering to seed state - system state diff,
c1a3e982b6de1d22a3acc5ec01daaf64/0000,c1a3e982b6de1d22a3acc5ec01daaf64,False,,,,,testrun-2024-02-21-00-08/trial-02-0009/0002 -> c1a3e982b6de1d22a3acc5ec01daaf64/0000: failed attempt recovering to seed state - system state diff,
c485730d4e1696f5d7f0f009fcc47cf7/0000,c485730d4e1696f5d7f0f009fcc47cf7,False,,,,,testrun-2024-02-21-00-08/trial-05-0018/0003 -> c485730d4e1696f5d7f0f009fcc47cf7/0000: failed attempt recovering to seed state - system state diff,
ce9b4ff72b55eee0de70afbb556197aa/0000,ce9b4ff72b55eee0de70afbb556197aa,False,,,,,testrun-2024-02-21-00-08/trial-07-0015/0007 -> ce9b4ff72b55eee0de70afbb556197aa/0000: failed attempt recovering to seed state - system state diff,
d0af077c879b0560df02bb61c9dd3553/0000,d0af077c879b0560df02bb61c9dd3553,False,,,,,testrun-2024-02-21-00-08/trial-01-0025/0004 -> d0af077c879b0560df02bb61c9dd3553/0000: failed attempt recovering to seed state - system state diff,
d4b3fa3b79748657008fbd78a48a335e/0000,d4b3fa3b79748657008fbd78a48a335e,False,,,,,testrun-2024-02-21-00-08/trial-00-0001/0005 -> d4b3fa3b79748657008fbd78a48a335e/0000: failed attempt recovering to seed state - system state diff,
d59a9a0cf7f569ccf732712ad52accaa/0000,d59a9a0cf7f569ccf732712ad52accaa,False,,,,,testrun-2024-02-21-00-08/trial-01-0025/0001 -> d59a9a0cf7f569ccf732712ad52accaa/0000: failed attempt recovering to seed state - system state diff,
dfd053924b5df78c68063116862c914a/0000,dfd053924b5df78c68063116862c914a,False,,,,,testrun-2024-02-21-00-08/trial-00-0005/0010 -> dfd053924b5df78c68063116862c914a/0000: failed attempt recovering to seed state - system state diff,
ee453affc80562b764ac2412c1e837d7/0000,ee453affc80562b764ac2412c1e837d7,False,,,,,testrun-2024-02-21-00-08/trial-01-0025/0008 -> ee453affc80562b764ac2412c1e837d7/0000: failed attempt recovering to seed state - system state diff,
fd0d02c5ee1b46f21dd9311b83490321/0000,fd0d02c5ee1b46f21dd9311b83490321,False,,,,,testrun-2024-02-21-00-08/trial-02-0015/0002 -> fd0d02c5ee1b46f21dd9311b83490321/0000: failed attempt recovering to seed state - system state diff,
testrun-2024-02-21-00-08/trial-00-0000/0000,{},False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0000/0001,"{""field"": ""[\""spec\"", \""bootstrap\"", \""initdb\"", \""import\"", \""source\"", \""externalCluster\""]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0000/0002,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0000/0003,"{""field"": ""[\""spec\"", \""bootstrap\"", \""initdb\"", \""import\"", \""source\"", \""externalCluster\""]"", ""testcase"": ""string-change""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0000/0004,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0000/0005,"{""field"": ""[\""spec\"", \""bootstrap\"", \""initdb\"", \""import\"", \""source\"", \""externalCluster\""]"", ""testcase"": ""string-empty""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0000/0006,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0000/0007,"{""field"": ""[\""spec\"", \""postgresql\""]"", ""testcase"": ""object-deletion""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0000/0008,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0000/0009,"{""field"": ""[\""spec\"", \""postgresql\""]"", ""testcase"": ""object-empty""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0001/0000,{},False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0001/0001,"{""field"": ""[\""spec\"", \""bootstrap\"", \""initdb\"", \""database\""]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0001/0002,"{""field"": ""[\""spec\"", \""bootstrap\"", \""initdb\"", \""database\""]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0001/0003,"{""field"": ""[\""spec\"", \""bootstrap\"", \""initdb\"", \""database\""]"", ""testcase"": ""string-change""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0001/0004,"{""field"": ""[\""spec\"", \""bootstrap\"", \""initdb\"", \""database\""]"", ""testcase"": ""string-empty""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0001/0005,"{""field"": ""[\""spec\"", \""monitoring\"", \""disableDefaultQueries\""]"", ""testcase"": ""boolean-deletion""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0001/0006,"{""field"": ""[\""spec\"", \""monitoring\"", \""disableDefaultQueries\""]"", ""testcase"": ""boolean-deletion""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0001/0007,"{""field"": ""[\""spec\"", \""monitoring\"", \""disableDefaultQueries\""]"", ""testcase"": ""boolean-toggle-off""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0001/0008,"{""field"": ""[\""spec\"", \""monitoring\"", \""disableDefaultQueries\""]"", ""testcase"": ""boolean-toggle-off""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0002/0000,{},False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0002/0001,"{""field"": ""[\""spec\"", \""backup\"", \""volumeSnapshot\"", \""walClassName\""]"", ""testcase"": ""string-empty""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0002/0002,"{""field"": ""[\""spec\"", \""serviceAccountTemplate\"", \""metadata\"", \""labels\""]"", ""testcase"": ""object-deletion""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0002/0003,"{""field"": ""[\""spec\"", \""serviceAccountTemplate\"", \""metadata\"", \""labels\""]"", ""testcase"": ""object-deletion""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='ACTOKEY', curr='NotPresent', path=[""spec"", ""serviceAccountTemplate"", ""metadata"", ""labels"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-02-21-00-08/trial-00-0003/0000,{},False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0003/0001,"{""field"": ""[\""spec\"", \""serviceAccountTemplate\"", \""metadata\"", \""labels\""]"", ""testcase"": ""object-empty""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0003/0002,"{""field"": ""[\""spec\"", \""backup\"", \""barmanObjectStore\"", \""azureCredentials\"", \""storageAccount\"", \""key\""]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0003/0003,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0003/0004,"{""field"": ""[\""spec\"", \""backup\"", \""barmanObjectStore\"", \""azureCredentials\"", \""storageAccount\"", \""key\""]"", ""testcase"": ""string-change""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0003/0005,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0003/0006,"{""field"": ""[\""spec\"", \""backup\"", \""barmanObjectStore\"", \""azureCredentials\"", \""storageAccount\"", \""key\""]"", ""testcase"": ""string-empty""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0003/0007,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0003/0008,"{""field"": ""[\""spec\"", \""affinity\"", \""topologyKey\""]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0003/0009,"{""field"": ""[\""spec\"", \""affinity\"", \""topologyKey\""]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0004/0000,{},False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0004/0001,"{""field"": ""[\""spec\"", \""affinity\"", \""topologyKey\""]"", ""testcase"": ""string-change""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0004/0002,"{""field"": ""[\""spec\"", \""affinity\"", \""topologyKey\""]"", ""testcase"": ""string-change""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0004/0003,"{""field"": ""[\""spec\"", \""affinity\"", \""topologyKey\""]"", ""testcase"": ""string-empty""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0004/0004,"{""field"": ""[\""spec\"", \""ephemeralVolumeSource\"", \""volumeClaimTemplate\"", \""spec\"", \""accessModes\""]"", ""testcase"": ""k8s-invalid_access_mode""}",False,,,message='Invalid input detected' responsible_property=[],,None,
testrun-2024-02-21-00-08/trial-00-0004/0005,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0005/0000,{},False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0005/0001,"{""field"": ""[\""spec\"", \""ephemeralVolumeSource\"", \""volumeClaimTemplate\""]"", ""testcase"": ""object-empty""}",False,,,message='Invalid input detected' responsible_property=[],,None,
testrun-2024-02-21-00-08/trial-00-0005/0002,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0005/0003,"{""field"": ""[\""spec\"", \""bootstrap\"", \""recovery\"", \""volumeSnapshots\"", \""tablespaceStorage\"", \""ACTOKEY\"", \""apiGroup\""]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0005/0004,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0005/0005,"{""field"": ""[\""spec\"", \""bootstrap\"", \""recovery\"", \""volumeSnapshots\"", \""tablespaceStorage\"", \""ACTOKEY\"", \""apiGroup\""]"", ""testcase"": ""string-change""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0005/0006,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0005/0007,"{""field"": ""[\""spec\"", \""bootstrap\"", \""recovery\"", \""volumeSnapshots\"", \""tablespaceStorage\"", \""ACTOKEY\"", \""apiGroup\""]"", ""testcase"": ""string-empty""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0005/0008,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0005/0009,"{""field"": ""[\""spec\"", \""ephemeralVolumesSizeLimit\"", \""temporaryData\""]"", ""testcase"": ""integer-deletion""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0005/0010,"{""field"": ""[\""spec\"", \""ephemeralVolumesSizeLimit\"", \""temporaryData\""]"", ""testcase"": ""integer-deletion""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0006/0000,{},False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0006/0001,"{""field"": ""[\""spec\"", \""ephemeralVolumesSizeLimit\"", \""temporaryData\""]"", ""testcase"": ""integer-change""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-00-0006/0002,"{""field"": ""[\""spec\"", \""ephemeralVolumesSizeLimit\"", \""temporaryData\""]"", ""testcase"": ""integer-change""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-01-0000/0000,{},False,,,,,None,
testrun-2024-02-21-00-08/trial-01-0000/0001,"{""field"": ""[\""spec\"", \""monitoring\"", \""disableDefaultQueries\""]"", ""testcase"": ""boolean-toggle-on""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-01-0000/0002,"{""field"": ""[\""status\"", \""configMapResourceVersion\"", \""metrics\"", \""ACTOKEY\""]"", ""testcase"": ""string-deletion""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr='ACTOKEY', path=[""status"", ""configMapResourceVersion"", ""metrics"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-02-21-00-08/trial-01-0001/0000,{},False,,,,,None,
testrun-2024-02-21-00-08/trial-01-0001/0001,"{""field"": ""[\""status\"", \""configMapResourceVersion\"", \""metrics\"", \""ACTOKEY\""]"", ""testcase"": ""string-change""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr='ACTOKEY', path=[""status"", ""configMapResourceVersion"", ""metrics"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-02-21-00-08/trial-01-0002/0000,{},False,,,,,None,
testrun-2024-02-21-00-08/trial-01-0002/0001,"{""field"": ""[\""status\"", \""configMapResourceVersion\"", \""metrics\"", \""ACTOKEY\""]"", ""testcase"": ""string-empty""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr='', path=[""status"", ""configMapResourceVersion"", ""metrics"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-02-21-00-08/trial-01-0003/0000,{},False,,,,,None,
testrun-2024-02-21-00-08/trial-01-0003/0001,"{""field"": ""[\""status\"", \""poolerIntegrations\""]"", ""testcase"": ""object-deletion""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-01-0003/0002,"{""field"": ""[\""status\"", \""poolerIntegrations\""]"", ""testcase"": ""object-deletion""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-01-0003/0003,"{""field"": ""[\""spec\"", \""affinity\"", \""podAntiAffinityType\""]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-01-0003/0004,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-01-0003/0005,"{""field"": ""[\""spec\"", \""affinity\"", \""podAntiAffinityType\""]"", ""testcase"": ""string-change""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-01-0003/0006,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-01-0003/0007,"{""field"": ""[\""spec\"", \""affinity\"", \""podAntiAffinityType\""]"", ""testcase"": ""string-empty""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-01-0003/0008,"{""field"": ""[\""spec\"", \""managed\"", \""roles\"", 0, \""passwordSecret\"", \""name\""]"", ""testcase"": ""invalid-name""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-01-0004/0000,{},False,,,,,None,
testrun-2024-02-21-00-08/trial-01-0004/0001,"{""field"": ""[\""spec\"", \""ephemeralVolumeSource\"", \""volumeClaimTemplate\"", \""spec\"", \""accessModes\""]"", ""testcase"": ""k8s-change_access_mode""}",False,,,message='Invalid input detected' responsible_property=[],,None,
testrun-2024-02-21-00-08/trial-01-0004/0002,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-01-0004/0003,"{""field"": ""[\""status\"", \""managedRolesStatus\"", \""passwordStatus\"", \""ACTOKEY\"", \""transactionID\""]"", ""testcase"": ""integer-deletion""}",False,,,,,None,
testrun-2024-02-21-00-08/trial-01-0004/0004,"{""field"": ""[\""status\"", \""managedRolesStatus\"", \""passwordStatus\"", \""ACTOKEY\"", \""transactionID\""]"", ""testcase"": ""integer-deletion""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev=5, curr=0, path=[""status"", ""managedRolesStatus"", ""passwordStatus"", ""ACTOKEY"", ""transactionID""]) system_state_diff=None",None,
testrun-2024-02-21-00-08/trial-01-0005/0000,{},False,,,,,None,
