Trial number,Testcase,Alarm,Crash,Health,Operator log,Consistency,Differential,Custom
3561c18ad74c6c5c263abe7ce6b12e78/0000,3561c18ad74c6c5c263abe7ce6b12e78,True,,,,,testrun-2024-02-21-22-04/trial-06-0002/0003 -> 3561c18ad74c6c5c263abe7ce6b12e78/0000: failed attempt recovering to seed state - system state diff,
74bd14d94d705a5fee6f05920353dbe8/0000,74bd14d94d705a5fee6f05920353dbe8,True,,,,,testrun-2024-02-21-22-04/trial-09-0001/0010 -> 74bd14d94d705a5fee6f05920353dbe8/0000: failed attempt recovering to seed state - system state diff,
7b1627ac4a0e172a56632064e7ebe462/0000,7b1627ac4a0e172a56632064e7ebe462,True,,,,,testrun-2024-02-21-22-04/trial-06-0002/0004 -> 7b1627ac4a0e172a56632064e7ebe462/0000: failed attempt recovering to seed state - system state diff,
9efec46516fe516a15a314f437d3a7be/0000,9efec46516fe516a15a314f437d3a7be,True,,,,,testrun-2024-02-21-22-04/trial-07-0000/0003 -> 9efec46516fe516a15a314f437d3a7be/0000: failed attempt recovering to seed state - system state diff,
acbdce8a2442b12d59ada515d659687a/0000,acbdce8a2442b12d59ada515d659687a,True,,,,,testrun-2024-02-21-22-04/trial-07-0009/0001 -> acbdce8a2442b12d59ada515d659687a/0000: failed attempt recovering to seed state - system state diff,
b52166f7b46c83187408457fbb3a095c/0000,b52166f7b46c83187408457fbb3a095c,True,,,,,testrun-2024-02-21-22-04/trial-06-0002/0002 -> b52166f7b46c83187408457fbb3a095c/0000: failed attempt recovering to seed state - system state diff,
testrun-2024-02-21-22-04/trial-00-0000/0000,{},False,,,,,None,
testrun-2024-02-21-22-04/trial-01-0000/0000,{},False,,,,,None,
testrun-2024-02-21-22-04/trial-01-0000/0001,"{""field"": ""[\""status\"", \""operatorActions\"", 0, \""message\""]"", ""testcase"": ""string-change""}",False,,,,,None,
testrun-2024-02-21-22-04/trial-01-0000/0002,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-22-04/trial-01-0000/0003,"{""field"": ""[\""status\"", \""operatorActions\"", 0, \""message\""]"", ""testcase"": ""string-empty""}",False,,,,,None,
testrun-2024-02-21-22-04/trial-01-0000/0004,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-22-04/trial-01-0000/0005,"{""field"": ""[\""status\"", \""clusterStatus\""]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-02-21-22-04/trial-01-0000/0006,"{""field"": ""[\""status\"", \""clusterStatus\""]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-02-21-22-04/trial-01-0000/0007,"{""field"": ""[\""status\"", \""clusterStatus\""]"", ""testcase"": ""string-change""}",False,,,,,None,
testrun-2024-02-21-22-04/trial-01-0000/0008,"{""field"": ""[\""status\"", \""clusterStatus\""]"", ""testcase"": ""string-empty""}",False,,,,,None,
testrun-2024-02-21-22-04/trial-01-0000/0009,"{""field"": ""[\""spec\"", \""grpcPort\""]"", ""testcase"": ""integer-deletion""}",True,message='Pod test-cluster-2 crashed',message='statefulset: test-cluster replicas [3] ready_replicas [2]',,,None,
testrun-2024-02-21-22-04/trial-01-0001/0000,{},False,,,,,None,
testrun-2024-02-21-22-04/trial-01-0001/0001,"{""field"": ""[\""spec\"", \""grpcPort\""]"", ""testcase"": ""integer-change""}",True,message='Pod test-cluster-2 crashed',message='statefulset: test-cluster replicas [3] ready_replicas [2]',,,None,
