Trial number,Testcase,Alarm,Crash,Health,Operator log,Consistency,Differential,Custom
testrun-2024-02-23-14-39/trial-00-0000/0000,{},False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0000/0001,"{""field"": ""[\""spec\"", \""podTemplateSpec\"", \""spec\"", \""containers\"", 0, \""envFrom\"", 0, \""configMapRef\"", \""name\""]"", ""testcase"": ""invalid-name""}",True,,message='pod: cass-operator-controller-manager-654655489c-q79vr container [manager] restart_count [1]',,,None,
testrun-2024-02-23-14-39/trial-01-0000/0000,{},False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0000/0001,"{""field"": ""[\""spec\"", \""podTemplateSpec\"", \""spec\"", \""ephemeralContainers\""]"", ""testcase"": ""array-empty""}",True,,message='pod: cass-operator-controller-manager-654655489c-2ms5l container [manager] restart_count [1]',,,None,
testrun-2024-02-23-14-39/trial-01-0001/0000,{},False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0001/0001,"{""field"": ""[\""spec\"", \""storageConfig\"", \""additionalVolumes\"", 0, \""volumeSource\"", \""ephemeral\"", \""volumeClaimTemplate\"", \""spec\"", \""resources\"", \""requests\"", \""ACTOKEY\""]"", ""testcase"": ""k8s-quantity_increase""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0001/0002,"{""field"": """", ""testcase"": ""revert""}",True,,message='pod: cass-operator-controller-manager-654655489c-24hzn container [manager] restart_count [1]',,,None,
testrun-2024-02-23-14-39/trial-01-0001/0003,"{""field"": ""[\""spec\"", \""storageConfig\"", \""additionalVolumes\"", 0, \""volumeSource\"", \""ephemeral\"", \""volumeClaimTemplate\"", \""spec\"", \""resources\"", \""requests\"", \""ACTOKEY\""]"", ""testcase"": ""k8s-quantity_decrease""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0001/0004,"{""field"": """", ""testcase"": ""revert""}",True,message='Pod cass-operator-controller-manager-654655489c-24hzn crashed',"message='deployment: cass-operator-controller-manager replicas [1] ready_replicas [None], cass-operator-controller-manager condition [Available] status [False] message [Deployment does not have minimum availability.]\npod: cass-operator-controller-manager-654655489c-24hzn container [manager] restart_count [1]'",,,None,
testrun-2024-02-23-14-39/trial-01-0001/0005,"{""field"": ""[\""spec\"", \""podTemplateSpec\"", \""spec\"", \""containers\"", 0, \""tty\""]"", ""testcase"": ""boolean-deletion""}",True,,message='pod: cass-operator-controller-manager-654655489c-24hzn container [manager] restart_count [2]',,,None,
testrun-2024-02-23-14-39/trial-01-0002/0000,{},False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0002/0001,"{""field"": ""[\""spec\"", \""podTemplateSpec\"", \""spec\"", \""containers\"", 0, \""tty\""]"", ""testcase"": ""boolean-toggle-off""}",True,,message='pod: cass-operator-controller-manager-654655489c-th7rv container [manager] restart_count [1]',,,None,
testrun-2024-02-23-14-39/trial-01-0003/0000,{},False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0003/0001,"{""field"": ""[\""spec\"", \""podTemplateSpec\"", \""spec\"", \""containers\"", 0, \""tty\""]"", ""testcase"": ""boolean-toggle-on""}",True,,message='pod: cass-operator-controller-manager-654655489c-g7d5d container [manager] restart_count [1]',,,None,
testrun-2024-02-23-14-39/trial-01-0004/0000,{},False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0004/0001,"{""field"": ""[\""spec\"", \""storageConfig\"", \""additionalVolumes\"", 0, \""pvcSpec\""]"", ""testcase"": ""object-deletion""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0004/0002,"{""field"": """", ""testcase"": ""revert""}",True,,message='pod: cass-operator-controller-manager-654655489c-2gzll container [manager] restart_count [1]',,,None,
testrun-2024-02-23-14-39/trial-01-0004/0003,"{""field"": ""[\""spec\"", \""storageConfig\"", \""additionalVolumes\"", 0, \""pvcSpec\""]"", ""testcase"": ""object-empty""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0004/0004,"{""field"": """", ""testcase"": ""revert""}",True,,message='pod: cass-operator-controller-manager-654655489c-2gzll container [manager] restart_count [2]',,,None,
testrun-2024-02-23-14-39/trial-01-0004/0005,"{""field"": ""[\""spec\"", \""podTemplateSpec\"", \""spec\"", \""initContainers\"", 0, \""env\"", 0, \""valueFrom\"", \""resourceFieldRef\"", \""divisor\""]"", ""testcase"": ""k8s-quantity_increase""}",True,,message='pod: cass-operator-controller-manager-654655489c-2gzll container [manager] restart_count [3]',,,None,
testrun-2024-02-23-14-39/trial-01-0005/0000,{},False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0005/0001,"{""field"": ""[\""spec\"", \""podTemplateSpec\"", \""spec\"", \""initContainers\"", 0, \""env\"", 0, \""valueFrom\"", \""resourceFieldRef\"", \""divisor\""]"", ""testcase"": ""k8s-quantity_decrease""}",True,,message='pod: cass-operator-controller-manager-654655489c-6qrvm container [manager] restart_count [1]',,,None,
testrun-2024-02-23-14-39/trial-01-0006/0000,{},False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0007/0000,{},False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0007/0001,"{""field"": ""[\""spec\"", \""podTemplateSpec\"", \""spec\"", \""volumes\""]"", ""testcase"": ""array-deletion""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0007/0002,"{""field"": """", ""testcase"": ""revert""}",True,,message='pod: cass-operator-controller-manager-654655489c-cvg9c container [manager] restart_count [1]',,,None,
testrun-2024-02-23-14-39/trial-01-0007/0003,"{""field"": ""[\""spec\"", \""podTemplateSpec\"", \""spec\"", \""volumes\""]"", ""testcase"": ""array-push""}",True,,message='pod: cass-operator-controller-manager-654655489c-cvg9c container [manager] restart_count [2]',,,None,
testrun-2024-02-23-14-39/trial-01-0008/0000,{},False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0008/0001,"{""field"": ""[\""spec\"", \""podTemplateSpec\"", \""spec\"", \""volumes\""]"", ""testcase"": ""array-pop""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0008/0002,"{""field"": """", ""testcase"": ""revert""}",True,,message='pod: cass-operator-controller-manager-654655489c-mjflt container [manager] restart_count [1]',,,None,
testrun-2024-02-23-14-39/trial-01-0008/0003,"{""field"": ""[\""spec\"", \""podTemplateSpec\"", \""spec\"", \""volumes\""]"", ""testcase"": ""array-empty""}",True,,message='pod: cass-operator-controller-manager-654655489c-mjflt container [manager] restart_count [1]',,,None,
testrun-2024-02-23-14-39/trial-01-0009/0000,{},False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0009/0001,"{""field"": ""[\""spec\"", \""storageConfig\"", \""additionalVolumes\"", 0, \""volumeSource\"", \""ephemeral\"", \""volumeClaimTemplate\"", \""spec\"", \""accessModes\"", 0]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0009/0002,"{""field"": """", ""testcase"": ""revert""}",True,,message='pod: cass-operator-controller-manager-654655489c-khl2g container [manager] restart_count [1]',,,None,
testrun-2024-02-23-14-39/trial-01-0009/0003,"{""field"": ""[\""spec\"", \""storageConfig\"", \""additionalVolumes\"", 0, \""volumeSource\"", \""ephemeral\"", \""volumeClaimTemplate\"", \""spec\"", \""accessModes\"", 0]"", ""testcase"": ""string-change""}",False,,,,,None,
