Trial number,Testcase,Alarm,Crash,Health,Operator log,Consistency,Differential,Custom
3b22c392dc9815e0a094b628e3b582b6/0000,3b22c392dc9815e0a094b628e3b582b6,False,,,,,testrun-2024-03-15-01-42/trial-07-0007/0001 -> 3b22c392dc9815e0a094b628e3b582b6/0000: failed attempt recovering to seed state - system state diff,
a478bcb2e9648051cc8ce52eb86b56f0/0000,a478bcb2e9648051cc8ce52eb86b56f0,False,,,,,testrun-2024-03-15-01-42/trial-07-0007/0002 -> a478bcb2e9648051cc8ce52eb86b56f0/0000: failed attempt recovering to seed state - system state diff,
a94a8272bddcfcc1c6941812c17b399a/0000,a94a8272bddcfcc1c6941812c17b399a,False,,,,,testrun-2024-03-15-01-42/trial-06-0000/0001 -> a94a8272bddcfcc1c6941812c17b399a/0000: failed attempt recovering to seed state - system state diff,
c6a82f994f91f844e17ace064e12e599/0000,c6a82f994f91f844e17ace064e12e599,False,,,,,testrun-2024-03-15-01-42/trial-07-0005/0005 -> c6a82f994f91f844e17ace064e12e599/0000: failed attempt recovering to seed state - system state diff,
testrun-2024-03-15-01-42/trial-00-0000/0000,{},False,,,,,None,
testrun-2024-03-15-01-42/trial-00-0000/0001,"{""field"": ""[\""spec\"", \""brokerConfigGroups\"", \""ACTOKEY\"", \""volumes\"", 0, \""projected\"", \""sources\"", 0, \""configMap\"", \""name\""]"", ""testcase"": ""invalid-name""}",False,,,,,None,
testrun-2024-03-15-01-42/trial-00-0000/0002,"{""field"": ""[\""spec\"", \""brokerConfigGroups\"", \""ACTOKEY\"", \""imagePullSecrets\""]"", ""testcase"": ""array-deletion""}",False,,,,,None,
testrun-2024-03-15-01-42/trial-00-0000/0003,"{""field"": ""[\""spec\"", \""brokerConfigGroups\"", \""ACTOKEY\"", \""imagePullSecrets\""]"", ""testcase"": ""array-deletion""}",False,,,,,None,
testrun-2024-03-15-01-42/trial-00-0000/0004,"{""field"": ""[\""spec\"", \""brokerConfigGroups\"", \""ACTOKEY\"", \""imagePullSecrets\""]"", ""testcase"": ""array-push""}",False,,,,,None,
testrun-2024-03-15-01-42/trial-00-0000/0005,"{""field"": ""[\""spec\"", \""brokerConfigGroups\"", \""ACTOKEY\"", \""imagePullSecrets\""]"", ""testcase"": ""array-pop""}",False,,,,,None,
testrun-2024-03-15-01-42/trial-01-0000/0000,{},False,,,,,None,
testrun-2024-03-15-01-42/trial-01-0000/0001,"{""field"": ""[\""spec\"", \""listenersConfig\"", \""externalListeners\"", 0, \""config\"", \""ingressConfig\"", \""ACTOKEY\"", \""envoyConfig\"", \""topologySpreadConstraints\"", 0, \""labelSelector\"", \""matchExpressions\"", 0, \""values\""]"", ""testcase"": ""array-deletion""}",False,,,"message='Invalid input detected' responsible_property=[""spec"", ""listenersConfig"", ""externalListeners"", 0, ""config"", ""ingressConfig"", ""ACTOKEY"", ""envoyConfig"", ""topologySpreadConstraints"", 0, ""labelSelector"", ""matchExpressions"", 0, ""operator""]",,None,
testrun-2024-03-15-01-42/trial-01-0000/0002,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-15-01-42/trial-01-0000/0003,"{""field"": ""[\""spec\"", \""listenersConfig\"", \""externalListeners\"", 0, \""config\"", \""ingressConfig\"", \""ACTOKEY\"", \""envoyConfig\"", \""topologySpreadConstraints\"", 0, \""labelSelector\"", \""matchExpressions\"", 0, \""values\""]"", ""testcase"": ""array-push""}",False,,,"message='Invalid input detected' responsible_property=[""spec"", ""listenersConfig"", ""externalListeners"", 0, ""config"", ""ingressConfig"", ""ACTOKEY"", ""envoyConfig"", ""topologySpreadConstraints"", 0, ""labelSelector"", ""matchExpressions"", 0, ""operator""]",,None,
testrun-2024-03-15-01-42/trial-01-0000/0004,"{""field"": """", ""testcase"": ""revert""}",True,,message='pod: test-cluster-0-ctx8g',,,None,
testrun-2024-03-15-01-42/trial-01-0000/0005,"{""field"": ""[\""spec\"", \""listenersConfig\"", \""externalListeners\"", 0, \""config\"", \""ingressConfig\"", \""ACTOKEY\"", \""envoyConfig\"", \""topologySpreadConstraints\"", 0, \""labelSelector\"", \""matchExpressions\"", 0, \""values\""]"", ""testcase"": ""array-pop""}",False,,,"message='Invalid input detected' responsible_property=[""spec"", ""listenersConfig"", ""externalListeners"", 0, ""config"", ""ingressConfig"", ""ACTOKEY"", ""envoyConfig"", ""topologySpreadConstraints"", 0, ""labelSelector"", ""matchExpressions"", 0, ""operator""]",,None,
testrun-2024-03-15-01-42/trial-01-0000/0006,"{""field"": """", ""testcase"": ""revert""}",True,,message='pod: test-cluster-1-h7qtx',,,None,
