Trial number,Testcase,Crash,Health,Operator log,Consistency,Differential,Custom
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0000/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0000/0001,"{""field"": ""[\""spec\"", \""affinity\"", \""tenancy\""]"", ""testcase"": ""string-deletion""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0000/0002,"{""field"": ""[\""spec\"", \""affinity\"", \""tenancy\""]"", ""testcase"": ""string-deletion""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0000/0003,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0000/0004,"{""field"": ""[\""spec\"", \""affinity\"", \""tenancy\""]"", ""testcase"": ""SharedNode""}",,message='statefulset: test-cluster-bookies replicas [1] ready_replicas [None]\npod: test-cluster-bookies-0',,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0001/0000,{},,message='statefulset: test-cluster-bookies replicas [1] ready_replicas [None]\npod: test-cluster-bookies-0',,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0002/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0002/0001,"{""field"": ""[\""spec\"", \""affinity\"", \""tenancy\""]"", ""testcase"": ""DedicatedNode""}",,message='statefulset: test-cluster-bookies replicas [1] ready_replicas [None]\npod: test-cluster-bookies-0',,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0003/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0003/0001,"{""field"": ""[\""spec\"", \""backup\"", \""method\""]"", ""testcase"": ""string-deletion""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0003/0002,"{""field"": ""[\""spec\"", \""backup\"", \""method\""]"", ""testcase"": ""string-deletion""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0003/0003,"{""field"": ""[\""spec\"", \""backup\"", \""method\""]"", ""testcase"": ""string-change""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0003/0004,"{""field"": ""[\""spec\"", \""backup\"", \""method\""]"", ""testcase"": ""string-empty""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0003/0005,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""configMapRefs\"", 0, \""configMap\"", \""optional\""]"", ""testcase"": ""boolean-deletion""}",,message='statefulset: test-cluster-broker replicas [0] ready_replicas [None]',,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0004/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0004/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""configMapRefs\"", 0, \""configMap\"", \""optional\""]"", ""testcase"": ""boolean-toggle-off""}",,message='statefulset: test-cluster-broker replicas [0] ready_replicas [None]',,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0005/0000,{},,message='statefulset: test-cluster-bookies replicas [1] ready_replicas [None]\npod: test-cluster-bookies-0',,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0006/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0006/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""configMapRefs\"", 0, \""configMap\"", \""optional\""]"", ""testcase"": ""boolean-toggle-on""}",,message='statefulset: test-cluster-broker replicas [0] ready_replicas [None]',,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0007/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0007/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""services\"", 0, \""annotations\"", \""ACTOKEY\""]"", ""testcase"": ""string-deletion""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0007/0002,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""services\"", 0, \""annotations\"", \""ACTOKEY\""]"", ""testcase"": ""string-deletion""}",,,,"message='Found no matching fields for input' input_diff=Diff(prev='ACTOKEY', curr='', path=[""spec"", ""componentSpecs"", 0, ""services"", 0, ""annotations"", ""ACTOKEY""]) system_state_diff=None",None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0008/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0009/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0009/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""services\"", 0, \""annotations\"", \""ACTOKEY\""]"", ""testcase"": ""string-change""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0009/0002,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""services\"", 0, \""annotations\"", \""ACTOKEY\""]"", ""testcase"": ""string-change""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0009/0003,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""services\"", 0, \""annotations\"", \""ACTOKEY\""]"", ""testcase"": ""string-empty""}",,,,"message='Found no matching fields for input' input_diff=Diff(prev='ACTOKEY', curr='', path=[""spec"", ""componentSpecs"", 0, ""services"", 0, ""annotations"", ""ACTOKEY""]) system_state_diff=None",None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0010/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0010/0001,"{""field"": ""[\""spec\"", \""services\"", 0, \""roleSelector\""]"", ""testcase"": ""string-deletion""}",,,message='Invalid input detected' responsible_property=[],"message='Invalid input determined from status message: Service ""test-cluster"" is invalid: spec.ports: Required value' responsible_property=[]",None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0010/0002,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0010/0003,"{""field"": ""[\""spec\"", \""services\"", 0, \""roleSelector\""]"", ""testcase"": ""string-change""}",,,message='Invalid input detected' responsible_property=[],"message='Invalid input determined from status message: Service ""test-cluster"" is invalid: spec.ports: Required value' responsible_property=[]",None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0010/0004,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0010/0005,"{""field"": ""[\""spec\"", \""services\"", 0, \""roleSelector\""]"", ""testcase"": ""string-empty""}",,,message='Invalid input detected' responsible_property=[],"message='Invalid input determined from status message: Service ""test-cluster"" is invalid: spec.ports: Required value' responsible_property=[]",None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0010/0006,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0011/0000,{},,message='statefulset: test-cluster-bookies replicas [1] ready_replicas [None]\npod: test-cluster-bookies-0',,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0012/0000,{},,message='statefulset: test-cluster-bookies replicas [1] ready_replicas [None]\npod: test-cluster-bookies-0',,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0013/0000,{},,message='statefulset: test-cluster-bookies replicas [1] ready_replicas [None]\npod: test-cluster-bookies-0',,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0014/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0014/0001,"{""field"": ""[\""spec\"", \""network\"", \""publiclyAccessible\""]"", ""testcase"": ""boolean-deletion""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0014/0002,"{""field"": ""[\""spec\"", \""network\"", \""publiclyAccessible\""]"", ""testcase"": ""boolean-deletion""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0014/0003,"{""field"": ""[\""spec\"", \""network\"", \""publiclyAccessible\""]"", ""testcase"": ""boolean-toggle-off""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0014/0004,"{""field"": ""[\""spec\"", \""network\"", \""publiclyAccessible\""]"", ""testcase"": ""boolean-toggle-off""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0014/0005,"{""field"": ""[\""spec\"", \""network\"", \""publiclyAccessible\""]"", ""testcase"": ""boolean-toggle-on""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0014/0006,"{""field"": ""[\""spec\"", \""services\"", 0, \""spec\"", \""sessionAffinityConfig\""]"", ""testcase"": ""object-deletion""}",,,message='Invalid input detected' responsible_property=[],"message='Invalid input determined from status message: Service ""test-cluster"" is invalid: spec.ports: Required value' responsible_property=[]",None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0014/0007,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0014/0008,"{""field"": ""[\""spec\"", \""services\"", 0, \""spec\"", \""sessionAffinityConfig\""]"", ""testcase"": ""object-empty""}",,,message='Invalid input detected' responsible_property=[],"message='Invalid input determined from status message: Service ""test-cluster"" is invalid: spec.ports: Required value' responsible_property=[]",None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0014/0009,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0015/0000,{},,message='statefulset: test-cluster-bookies replicas [1] ready_replicas [None]\npod: test-cluster-bookies-0',,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0016/0000,{},,message='statefulset: test-cluster-bookies replicas [1] ready_replicas [None]\npod: test-cluster-bookies-0',,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0017/0000,{},,message='statefulset: test-cluster-bookies replicas [1] ready_replicas [None]\npod: test-cluster-bookies-0',,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0018/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0019/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0019/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""serviceRefs\"", 0, \""name\""]"", ""testcase"": ""string-deletion""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0019/0002,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""serviceRefs\"", 0, \""name\""]"", ""testcase"": ""string-deletion""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0019/0003,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""serviceRefs\"", 0, \""name\""]"", ""testcase"": ""string-change""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0019/0004,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""serviceRefs\"", 0, \""name\""]"", ""testcase"": ""string-empty""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0019/0005,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""secretRefs\"", 0, \""name\""]"", ""testcase"": ""string-deletion""}",,message='statefulset: test-cluster-broker replicas [0] ready_replicas [None]',,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0020/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0020/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""secretRefs\"", 0, \""name\""]"", ""testcase"": ""string-change""}",,message='statefulset: test-cluster-broker replicas [0] ready_replicas [None]',,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0021/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0021/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""secretRefs\"", 0, \""name\""]"", ""testcase"": ""string-empty""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0021/0002,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0021/0003,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""serviceRefs\"", 0, \""cluster\""]"", ""testcase"": ""string-deletion""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0021/0004,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""serviceRefs\"", 0, \""cluster\""]"", ""testcase"": ""string-deletion""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0021/0005,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""serviceRefs\"", 0, \""cluster\""]"", ""testcase"": ""string-change""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0021/0006,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""serviceRefs\"", 0, \""cluster\""]"", ""testcase"": ""string-empty""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0021/0007,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""resources\"", \""claims\""]"", ""testcase"": ""array-deletion""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0021/0008,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0022/0000,{},,message='statefulset: test-cluster-bookies replicas [1] ready_replicas [None]\npod: test-cluster-bookies-0',,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0023/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0023/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""resources\"", \""claims\""]"", ""testcase"": ""array-push""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0023/0002,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0023/0003,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""resources\"", \""claims\""]"", ""testcase"": ""array-pop""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0023/0004,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0023/0005,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""resources\"", \""claims\""]"", ""testcase"": ""array-empty""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0023/0006,"{""field"": ""[\""spec\"", \""services\"", 0, \""spec\"", \""sessionAffinityConfig\"", \""clientIP\""]"", ""testcase"": ""object-deletion""}",,,message='Invalid input detected' responsible_property=[],"message='Invalid input determined from status message: Service ""test-cluster"" is invalid: spec.ports: Required value' responsible_property=[]",None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0023/0007,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0023/0008,"{""field"": ""[\""spec\"", \""services\"", 0, \""spec\"", \""sessionAffinityConfig\"", \""clientIP\""]"", ""testcase"": ""object-empty""}",,,message='Invalid input detected' responsible_property=[],"message='Invalid input determined from status message: Service ""test-cluster"" is invalid: spec.ports: Required value' responsible_property=[]",None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0023/0009,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0024/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0024/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""volumeClaimTemplates\"", 0, \""spec\"", \""resources\"", \""requests\""]"", ""testcase"": ""object-deletion""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0024/0002,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""volumeClaimTemplates\"", 0, \""spec\"", \""resources\"", \""requests\""]"", ""testcase"": ""object-deletion""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0024/0003,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""configMapRefs\"", 0, \""subPath\""]"", ""testcase"": ""string-deletion""}",,message='statefulset: test-cluster-broker replicas [0] ready_replicas [None]',,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0025/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0025/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""configMapRefs\"", 0, \""subPath\""]"", ""testcase"": ""string-change""}",,message='statefulset: test-cluster-broker replicas [0] ready_replicas [None]',,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0026/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0026/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""configMapRefs\"", 0, \""subPath\""]"", ""testcase"": ""string-empty""}",,message='statefulset: test-cluster-broker replicas [0] ready_replicas [None]',,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0027/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0028/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0028/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""secretRefs\"", 0, \""secret\"", \""items\"", 0, \""mode\""]"", ""testcase"": ""number-deletion""}",,message='statefulset: test-cluster-broker replicas [0] ready_replicas [None]',,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0029/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0029/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""secretRefs\"", 0, \""secret\"", \""items\"", 0, \""mode\""]"", ""testcase"": ""number-change""}",,message='statefulset: test-cluster-broker replicas [0] ready_replicas [None]',,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0030/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0030/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""secretRefs\"", 0, \""secret\""]"", ""testcase"": ""object-deletion""}",,,"message='Invalid input detected' responsible_property=[""spec"", ""componentSpecs"", 0, ""userResourceRefs"", ""secretRefs"", 0, ""name""]",,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0030/0002,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0030/0003,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""secretRefs\"", 0, \""secret\""]"", ""testcase"": ""object-empty""}",,message='statefulset: test-cluster-broker replicas [0] ready_replicas [None]',,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0031/0000,{},,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0031/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""classDefRef\""]"", ""testcase"": ""object-deletion""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0031/0002,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""classDefRef\""]"", ""testcase"": ""object-deletion""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0031/0003,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0031/0004,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""classDefRef\""]"", ""testcase"": ""object-empty""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0031/0005,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0031/0006,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""volumeClaimTemplates\"", 0, \""spec\"", \""resources\"", \""claims\"", 0]"", ""testcase"": ""object-deletion""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0031/0007,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""volumeClaimTemplates\"", 0, \""spec\"", \""resources\"", \""claims\"", 0]"", ""testcase"": ""object-deletion""}",,,,,None,
/home/k8s/kubepulsar-deployment/acto/pulsar-demo/trial-00-0031/0008,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
