Trial number,Testcase,Alarm,Crash,Health,Operator log,Consistency,Differential,Custom
testrun-2024-02-21-08-40/trial-00-0000/0000,{},False,,,,,None,
testrun-2024-02-21-08-40/trial-00-0000/0001,"{""field"": ""[\""spec\"", \""prometheus\"", \""passwordSecretRef\"", \""key\""]"", ""testcase"": ""string-deletion""}",False,,,"message='Invalid input detected' responsible_property=[""spec"", ""prometheus"", ""passwordSecretRef"", ""name""]",,None,
testrun-2024-02-21-08-40/trial-00-0000/0002,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-08-40/trial-00-0000/0003,"{""field"": ""[\""spec\"", \""prometheus\"", \""passwordSecretRef\"", \""key\""]"", ""testcase"": ""string-change""}",False,,,"message='Invalid input detected' responsible_property=[""spec"", ""prometheus"", ""passwordSecretRef"", ""name""]",,None,
testrun-2024-02-21-08-40/trial-00-0000/0004,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-08-40/trial-00-0000/0005,"{""field"": ""[\""spec\"", \""prometheus\"", \""passwordSecretRef\"", \""key\""]"", ""testcase"": ""string-empty""}",False,,,"message='Invalid input detected' responsible_property=[""spec"", ""prometheus"", ""passwordSecretRef"", ""name""]",,None,
testrun-2024-02-21-08-40/trial-00-0000/0006,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-08-40/trial-00-0000/0007,"{""field"": ""[\""metadata\""]"", ""testcase"": ""object-deletion""}",False,,,,,None,
testrun-2024-02-21-08-40/trial-00-0000/0008,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-08-40/trial-00-0000/0009,"{""field"": ""[\""metadata\""]"", ""testcase"": ""object-empty""}",False,,,,,None,
testrun-2024-02-21-08-40/trial-00-0000/0010,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-08-40/trial-00-0001/0000,{},False,,,,,None,
testrun-2024-02-21-08-40/trial-00-0001/0001,"{""field"": ""[\""spec\"", \""automationConfig\""]"", ""testcase"": ""object-deletion""}",False,,,"message='Invalid input detected' responsible_property=[""spec"", ""automationConfig"", ""processes"", 0, ""name""]",,None,
testrun-2024-02-21-08-40/trial-00-0001/0002,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-21-08-40/trial-00-0001/0003,"{""field"": ""[\""spec\"", \""automationConfig\""]"", ""testcase"": ""object-empty""}",False,,,,,None,
testrun-2024-02-21-08-40/trial-00-0001/0004,"{""field"": ""[\""spec\"", \""security\"", \""roles\"", 0, \""privileges\""]"", ""testcase"": ""array-deletion""}",False,,,,,None,
testrun-2024-02-21-08-40/trial-00-0001/0005,"{""field"": ""[\""spec\"", \""security\"", \""roles\"", 0, \""privileges\""]"", ""testcase"": ""array-deletion""}",False,,,,,None,
testrun-2024-02-21-08-40/trial-00-0001/0006,"{""field"": ""[\""spec\"", \""security\"", \""roles\"", 0, \""privileges\""]"", ""testcase"": ""array-push""}",False,,,,,None,
testrun-2024-02-21-08-40/trial-00-0001/0007,"{""field"": ""[\""spec\"", \""security\"", \""roles\"", 0, \""privileges\""]"", ""testcase"": ""array-pop""}",False,,,,,None,
testrun-2024-02-21-08-40/trial-00-0002/0000,{},False,,,,,None,
testrun-2024-02-21-08-40/trial-00-0002/0001,"{""field"": ""[\""spec\"", \""security\"", \""roles\"", 0, \""privileges\""]"", ""testcase"": ""array-empty""}",False,,,,,None,
testrun-2024-02-21-08-40/trial-00-0002/0002,"{""field"": ""[\""spec\"", \""arbiters\""]"", ""testcase"": ""integer-deletion""}",False,,,"message='Invalid input detected' responsible_property=[""spec"", ""arbiters""]",,None,
testrun-2024-02-21-08-40/trial-00-0002/0003,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
