Trial number,Testcase,Alarm,Crash,Health,Operator log,Consistency,Differential,Custom
testrun-2024-03-11-14-19/trial-00-0000/0000,{},False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0000/0001,"{""field"": ""[\""spec\"", \""mpiReplicaSpecs\"", \""ACTOKEY\"", \""template\"", \""spec\"", \""volumes\"", 0, \""iscsi\"", \""secretRef\"", \""name\""]"", ""testcase"": ""invalid-name""}",False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0000/0002,"{""field"": ""[\""spec\"", \""mpiReplicaSpecs\"", \""ACTOKEY\"", \""template\"", \""spec\"", \""volumes\"", 0, \""ephemeral\"", \""volumeClaimTemplate\"", \""spec\"", \""dataSourceRef\"", \""name\""]"", ""testcase"": ""invalid-name""}",False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0000/0003,"{""field"": ""[\""spec\"", \""mpiReplicaSpecs\"", \""ACTOKEY\"", \""template\"", \""spec\"", \""containers\"", 0, \""resizePolicy\"", 0]"", ""testcase"": ""object-deletion""}",False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0000/0004,"{""field"": ""[\""spec\"", \""mpiReplicaSpecs\"", \""ACTOKEY\"", \""template\"", \""spec\"", \""containers\"", 0, \""resizePolicy\"", 0]"", ""testcase"": ""object-deletion""}",False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0000/0005,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0000/0006,"{""field"": ""[\""spec\"", \""mpiReplicaSpecs\"", \""ACTOKEY\"", \""template\"", \""spec\"", \""containers\"", 0, \""resizePolicy\"", 0]"", ""testcase"": ""object-empty""}",False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0000/0007,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0000/0008,"{""field"": ""[\""spec\"", \""mpiReplicaSpecs\"", \""ACTOKEY\"", \""template\"", \""spec\"", \""initContainers\"", 0, \""securityContext\"", \""seLinuxOptions\""]"", ""testcase"": ""object-deletion""}",False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0000/0009,"{""field"": ""[\""spec\"", \""mpiReplicaSpecs\"", \""ACTOKEY\"", \""template\"", \""spec\"", \""initContainers\"", 0, \""securityContext\"", \""seLinuxOptions\""]"", ""testcase"": ""object-deletion""}",False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0001/0000,{},False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0001/0001,"{""field"": ""[\""spec\"", \""mpiReplicaSpecs\"", \""ACTOKEY\"", \""template\"", \""spec\"", \""initContainers\"", 0, \""securityContext\"", \""seLinuxOptions\""]"", ""testcase"": ""object-empty""}",False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0001/0002,"{""field"": ""[\""spec\"", \""mpiReplicaSpecs\"", \""ACTOKEY\"", \""template\"", \""spec\"", \""volumes\"", 0, \""downwardAPI\"", \""items\""]"", ""testcase"": ""array-deletion""}",False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0001/0003,"{""field"": ""[\""spec\"", \""mpiReplicaSpecs\"", \""ACTOKEY\"", \""template\"", \""spec\"", \""volumes\"", 0, \""downwardAPI\"", \""items\""]"", ""testcase"": ""array-deletion""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='ACTOKEY', curr='NotPresent', path=[""spec"", ""mpiReplicaSpecs"", ""ACTOKEY"", ""template"", ""spec"", ""volumes"", 0, ""downwardAPI"", ""items"", 0, ""fieldRef"", ""apiVersion""]) system_state_diff=None",None,
testrun-2024-03-11-14-19/trial-00-0002/0000,{},False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0002/0001,"{""field"": ""[\""spec\"", \""mpiReplicaSpecs\"", \""ACTOKEY\"", \""template\"", \""spec\"", \""volumes\"", 0, \""downwardAPI\"", \""items\""]"", ""testcase"": ""array-push""}",False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0002/0002,"{""field"": ""[\""spec\"", \""mpiReplicaSpecs\"", \""ACTOKEY\"", \""template\"", \""spec\"", \""volumes\"", 0, \""downwardAPI\"", \""items\""]"", ""testcase"": ""array-push""}",False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0002/0003,"{""field"": ""[\""spec\"", \""mpiReplicaSpecs\"", \""ACTOKEY\"", \""template\"", \""spec\"", \""volumes\"", 0, \""downwardAPI\"", \""items\""]"", ""testcase"": ""array-pop""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='ACTOKEY', curr='NotPresent', path=[""spec"", ""mpiReplicaSpecs"", ""ACTOKEY"", ""template"", ""spec"", ""volumes"", 0, ""downwardAPI"", ""items"", 0, ""fieldRef"", ""fieldPath""]) system_state_diff=None",None,
testrun-2024-03-11-14-19/trial-00-0003/0000,{},False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0003/0001,"{""field"": ""[\""spec\"", \""mpiReplicaSpecs\"", \""ACTOKEY\"", \""template\"", \""spec\"", \""volumes\"", 0, \""downwardAPI\"", \""items\""]"", ""testcase"": ""array-empty""}",False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0004/0000,{},False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0004/0001,"{""field"": ""[\""spec\"", \""mpiReplicaSpecs\"", \""ACTOKEY\"", \""template\"", \""spec\"", \""hostPID\""]"", ""testcase"": ""boolean-deletion""}",False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0004/0002,"{""field"": ""[\""spec\"", \""mpiReplicaSpecs\"", \""ACTOKEY\"", \""template\"", \""spec\"", \""hostPID\""]"", ""testcase"": ""boolean-deletion""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev=True, curr=False, path=[""spec"", ""mpiReplicaSpecs"", ""ACTOKEY"", ""template"", ""spec"", ""hostPID""]) system_state_diff=None",None,
testrun-2024-03-11-14-19/trial-00-0005/0000,{},False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0005/0001,"{""field"": ""[\""spec\"", \""mpiReplicaSpecs\"", \""ACTOKEY\"", \""template\"", \""spec\"", \""hostPID\""]"", ""testcase"": ""boolean-toggle-off""}",False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0005/0002,"{""field"": ""[\""spec\"", \""mpiReplicaSpecs\"", \""ACTOKEY\"", \""template\"", \""spec\"", \""hostPID\""]"", ""testcase"": ""boolean-toggle-off""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev=True, curr=False, path=[""spec"", ""mpiReplicaSpecs"", ""ACTOKEY"", ""template"", ""spec"", ""hostPID""]) system_state_diff=None",None,
testrun-2024-03-11-14-19/trial-00-0006/0000,{},False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0006/0001,"{""field"": ""[\""spec\"", \""mpiReplicaSpecs\"", \""ACTOKEY\"", \""template\"", \""spec\"", \""hostPID\""]"", ""testcase"": ""boolean-toggle-on""}",False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0006/0002,"{""field"": ""[\""spec\"", \""mpiReplicaSpecs\"", \""ACTOKEY\"", \""template\"", \""spec\"", \""tolerations\""]"", ""testcase"": ""array-deletion""}",False,,,,,None,
testrun-2024-03-11-14-19/trial-00-0006/0003,"{""field"": ""[\""spec\"", \""mpiReplicaSpecs\"", \""ACTOKEY\"", \""template\"", \""spec\"", \""tolerations\""]"", ""testcase"": ""array-deletion""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='ACTOKEY', curr='NotPresent', path=[""spec"", ""mpiReplicaSpecs"", ""ACTOKEY"", ""template"", ""spec"", ""tolerations"", 0, ""value""]) system_state_diff=None",None,
