Trial number,Testcase,Alarm,Crash,Health,Operator log,Consistency,Differential,Custom
testrun-2024-02-24-14-18/trial-00-0000/0000,{},False,,,,,None,
testrun-2024-02-24-14-18/trial-00-0000/0001,"{""field"": ""[\""spec\"", \""cert\"", \""certManager\"", \""encoding\""]"", ""testcase"": ""string-deletion""}",False,,,,>testrun-2024-02-24-14-18/trial-00-0000/0002,"{""field"": ""[\""spec\"", \""cert\"", \""certManager\"", \""encoding\""]"", ""testcase"": ""string-deletion""}",False,,,,>testrun-2024-02-24-14-18/trial-00-0000/0003,"{""field"": ""[\""spec\"", \""cert\"", \""certManager\"", \""encoding\""]"", ""testcase"": ""string-change""}",False,,,,,N>testrun-2024-02-24-14-18/trial-00-0000/0004,"{""field"": ""[\""spec\"", \""cert\"", \""certManager\"", \""encoding\""]"", ""testcase"": ""string-empty""}",False,,,,,No>testrun-2024-02-24-14-18/trial-00-0000/0005,"{""field"": ""[\""status\"", \""conditions\""]"", ""testcase"": ""array-deletion""}",False,,,,,None,
testrun-2024-02-24-14-18/trial-00-0000/0006,"{""field"": ""[\""status\"", \""conditions\""]"", ""testcase"": ""array-deletion""}",False,,,,,None,
testrun-2024-02-24-14-18/trial-00-0000/0007,"{""field"": ""[\""status\"", \""conditions\""]"", ""testcase"": ""array-push""}",False,,,,,None,
testrun-2024-02-24-14-18/trial-00-0000/0008,"{""field"": ""[\""status\"", \""conditions\""]"", ""testcase"": ""array-pop""}",False,,,,,None,
testrun-2024-02-24-14-18/trial-00-0000/0009,"{""field"": ""[\""spec\"", \""developer\"", \""showDebug\""]"", ""testcase"": ""boolean-deletion""}",False,,,,,None,
testrun-2024-02-24-14-18/trial-00-0000/0010,"{""field"": ""[\""spec\"", \""developer\"", \""showDebug\""]"", ""testcase"": ""boolean-deletion""}",False,,,,,None,
testrun-2024-02-24-14-18/trial-01-0000/0000,{},False,,,,,None,
testrun-2024-02-24-14-18/trial-01-0000/0001,"{""field"": ""[\""spec\"", \""operator\"", \""serviceAccount\"", \""repoCredentials\""]"", ""testcase"": ""array-deletion">testrun-2024-02-24-14-18/trial-01-0000/0002,"{""field"": ""[\""spec\"", \""operator\"", \""serviceAccount\"", \""repoCredentials\""]"", ""testcase"": ""array-deletion">testrun-2024-02-24-14-18/trial-01-0000/0003,"{""field"": ""[\""spec\"", \""operator\"", \""serviceAccount\"", \""repoCredentials\""]"", ""testcase"": ""array-push""}",>testrun-2024-02-24-14-18/trial-01-0000/0004,"{""field"": ""[\""spec\"", \""operator\"", \""serviceAccount\"", \""repoCredentials\""]"", ""testcase"": ""array-pop""}",F>testrun-2024-02-24-14-18/trial-01-0000/0005,"{""field"": ""[\""spec\"", \""cert\"", \""createForOperator\""]"", ""testcase"": ""boolean-toggle-off""}",False,,,,,None,
testrun-2024-02-24-14-18/trial-01-0000/0006,"{""field"": ""[\""spec\"", \""cert\"", \""createForOperator\""]"", ""testcase"": ""boolean-toggle-on""}",False,,,,,None,
