Trial number,Testcase,Alarm,Crash,Health,Operator log,Consistency,Differential,Custom
testrun-2024-02-22-11-14/trial-00-0000/0000,{},False,,,,,None,
testrun-2024-02-22-11-14/trial-00-0000/0001,"{""field"": ""[\""spec\"", \""sidecars\"", 0, \""env\"", 0, \""valueFrom\"", \""configMapKeyRef\"", \""name\""]"", ""testcase"": ""invalid-name""}",True,message='Pod redis-operator-6955ff47c8-tw9s7 crashed',"message='statefulset: test-cluster-follower replicas [2] ready_replicas [2], test-cluster-leader replicas [2] ready_replicas [2]\ndeployment: redis-operator replicas [1] ready_replicas [None], redis-operator condition [Available] status [False] message [Deployment does not have minimum availability.]\npod: redis-operator-6955ff47c8-tw9s7 container [redis-operator] restart_count [3]'",,,None,
testrun-2024-02-22-11-14/trial-00-0001/0000,{},True,,message='pod: redis-operator-6955ff47c8-622n7 container [redis-operator] restart_count [1]',,,None,
testrun-2024-02-22-11-14/trial-00-0002/0000,{},False,,,,,None,
testrun-2024-02-22-11-14/trial-00-0002/0001,"{""field"": ""[\""spec\"", \""storage\"", \""nodeConfVolumeClaimTemplate\"", \""spec\"", \""resources\"", \""claims\"", 0, \""name\""]"", ""testcase"": ""invalid-name""}",True,,message='pod: redis-operator-6955ff47c8-xxh7c container [redis-operator] restart_count [1]',,,None,
testrun-2024-02-22-11-14/trial-00-0003/0000,{},False,,,,,None,
testrun-2024-02-22-11-14/trial-00-0003/0001,"{""field"": ""[\""spec\"", \""storage\"", \""volumeMount\"", \""volume\"", 0, \""ephemeral\"", \""volumeClaimTemplate\"", \""spec\"", \""dataSource\"", \""name\""]"", ""testcase"": ""invalid-name""}",True,,"message='statefulset: test-cluster-follower replicas [2] ready_replicas [2], test-cluster-leader replicas [2] ready_replicas [2]\npod: redis-operator-6955ff47c8-t27c9 container [redis-operator] restart_count [3]'",,,None,
testrun-2024-02-22-11-14/trial-00-0004/0000,{},False,,,,,None,
testrun-2024-02-22-11-14/trial-00-0004/0001,"{""field"": ""[\""spec\"", \""redisLeader\"", \""tolerations\""]"", ""testcase"": ""array-deletion""}",True,message='Pod redis-operator-6955ff47c8-c74bt crashed',"message='statefulset: test-cluster-leader replicas [2] ready_replicas [2]\ndeployment: redis-operator replicas [1] ready_replicas [None], redis-operator condition [Available] status [False] message [Deployment does not have minimum availability.]\npod: redis-operator-6955ff47c8-c74bt container [redis-operator] restart_count [3]'",,,None,
testrun-2024-02-22-11-14/trial-00-0005/0000,{},False,,,,,None,
testrun-2024-02-22-11-14/trial-00-0005/0001,"{""field"": ""[\""spec\"", \""redisLeader\"", \""tolerations\""]"", ""testcase"": ""array-push""}",True,,message='pod: redis-operator-6955ff47c8-nhbmm container [redis-operator] restart_count [1]',,,None,
testrun-2024-02-22-11-14/trial-00-0006/0000,{},False,,,,,None,
testrun-2024-02-22-11-14/trial-00-0006/0001,"{""field"": ""[\""spec\"", \""redisLeader\"", \""tolerations\""]"", ""testcase"": ""array-pop""}",True,message='Pod redis-operator-6955ff47c8-vzrb7 crashed',"message='statefulset: test-cluster-leader replicas [2] ready_replicas [2]\ndeployment: redis-operator replicas [1] ready_replicas [None], redis-operator condition [Available] status [False] message [Deployment does not have minimum availability.]\npod: redis-operator-6955ff47c8-vzrb7 container [redis-operator] restart_count [3]'",,,None,
testrun-2024-02-22-11-14/trial-00-0007/0000,{},False,,,,,None,
testrun-2024-02-22-11-14/trial-00-0007/0001,"{""field"": ""[\""spec\"", \""redisLeader\"", \""tolerations\""]"", ""testcase"": ""array-empty""}",True,,message='pod: redis-operator-6955ff47c8-s44nj container [redis-operator] restart_count [1]',,,None,
testrun-2024-02-22-11-14/trial-00-0008/0000,{},False,,,,,None,
testrun-2024-02-22-11-14/trial-00-0008/0001,"{""field"": ""[\""spec\"", \""storage\"", \""volumeClaimTemplate\"", \""apiVersion\""]"", ""testcase"": ""k8s-change_api_version""}",True,,message='pod: redis-operator-6955ff47c8-kmbms container [redis-operator] restart_count [1]',,,None,
testrun-2024-02-22-11-14/trial-00-0009/0000,{},False,,,,,None,
testrun-2024-02-22-11-14/trial-00-0009/0001,"{""field"": ""[\""spec\"", \""storage\"", \""nodeConfVolumeClaimTemplate\"", \""kind\""]"", ""testcase"": ""string-deletion""}",True,,message='pod: redis-operator-6955ff47c8-h6dnx container [redis-operator] restart_count [1]',,,None,
testrun-2024-02-22-11-14/trial-00-0010/0000,{},False,,,,,None,
testrun-2024-02-22-11-14/trial-00-0010/0001,"{""field"": ""[\""spec\"", \""storage\"", \""nodeConfVolumeClaimTemplate\"", \""kind\""]"", ""testcase"": ""string-change""}",True,,message='pod: redis-operator-6955ff47c8-mqthp container [redis-operator] restart_count [1]',,,None,
testrun-2024-02-22-11-14/trial-00-0011/0000,{},False,,,,,None,
testrun-2024-02-22-11-14/trial-00-0012/0000,{},False,,,,,None,
testrun-2024-02-22-11-14/trial-00-0012/0001,"{""field"": ""[\""spec\"", \""storage\"", \""nodeConfVolumeClaimTemplate\"", \""kind\""]"", ""testcase"": ""string-empty""}",True,,message='pod: redis-operator-6955ff47c8-jxcg5 container [redis-operator] restart_count [1]',,,None,
