Trial number,Testcase,Crash,Health,Operator log,Consistency,Differential,Custom
testrun-2024-02-22-20-06/trial-00-0000/0000,{},,,,,None,
testrun-2024-02-22-20-06/trial-00-0000/0001,"{""field"": ""[\""spec\"", \""dataSource\"", \""pgbackrest\"", \""repo\"", \""volume\"", \""volumeClaimSpec\"", \""dataSourceRef\"", \""kind\""]"", ""testcase"": ""string-deletion""}",,message='pod: percona-postgresql-operator-75d79b5f64-2n8pl container [operator] restart_count [1]',,,None,
testrun-2024-02-22-20-06/trial-00-0001/0000,{},,,,,None,
testrun-2024-02-22-20-06/trial-00-0001/0001,"{""field"": ""[\""spec\"", \""dataSource\"", \""pgbackrest\"", \""repo\"", \""volume\"", \""volumeClaimSpec\"", \""dataSourceRef\"", \""kind\""]"", ""testcase"": ""string-change""}",,message='pod: percona-postgresql-operator-75d79b5f64-l7k77 container [operator] restart_count [1]',,,None,
testrun-2024-02-22-20-06/trial-00-0002/0000,{},,,,,None,
testrun-2024-02-22-20-06/trial-00-0002/0001,"{""field"": ""[\""spec\"", \""dataSource\"", \""pgbackrest\"", \""repo\"", \""volume\"", \""volumeClaimSpec\"", \""dataSourceRef\"", \""kind\""]"", ""testcase"": ""string-empty""}",,message='pod: percona-postgresql-operator-75d79b5f64-f68lx container [operator] restart_count [1]',,,None,
testrun-2024-02-22-20-06/trial-00-0003/0000,{},,,,,None,
testrun-2024-02-22-20-06/trial-00-0003/0001,"{""field"": ""[\""spec\"", \""dataSource\"", \""volumes\"", \""pgBackRestVolume\"", \""pvcName\""]"", ""testcase"": ""string-deletion""}",,message='pod: percona-postgresql-operator-75d79b5f64-xxqd4 container [operator] restart_count [1]',,,None,
testrun-2024-02-22-20-06/trial-00-0004/0000,{},,,,,None,
testrun-2024-02-22-20-06/trial-00-0004/0001,"{""field"": ""[\""spec\"", \""dataSource\"", \""volumes\"", \""pgBackRestVolume\"", \""pvcName\""]"", ""testcase"": ""string-change""}",,message='pod: percona-postgresql-operator-75d79b5f64-bfj7h container [operator] restart_count [1]',,,None,
testrun-2024-02-22-20-06/trial-00-0005/0000,{},,,,,None,
testrun-2024-02-22-20-06/trial-00-0005/0001,"{""field"": ""[\""spec\"", \""dataSource\"", \""volumes\"", \""pgBackRestVolume\"", \""pvcName\""]"", ""testcase"": ""string-empty""}",,message='pod: percona-postgresql-operator-75d79b5f64-7nmts container [operator] restart_count [1]',,,None,
testrun-2024-02-22-20-06/trial-00-0006/0000,{},,,,,None,
testrun-2024-02-22-20-06/trial-00-0006/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""restore\"", \""resources\""]"", ""testcase"": ""object-deletion""}",,message='pod: percona-postgresql-operator-75d79b5f64-h8vrl container [operator] restart_count [1]',,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr='.98', path=[""spec"", ""backups"", ""pgbackrest"", ""restore"", ""resources"", ""limits"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-02-22-20-06/trial-00-0007/0000,{},,,,,None,
testrun-2024-02-22-20-06/trial-00-0007/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""restore\"", \""resources\""]"", ""testcase"": ""object-empty""}",,message='pod: percona-postgresql-operator-75d79b5f64-kc7zq container [operator] restart_count [1]',,,None,
testrun-2024-02-22-20-06/trial-00-0008/0000,{},,,,,None,
testrun-2024-02-22-20-06/trial-00-0008/0001,"{""field"": ""[\""spec\"", \""proxy\"", \""pgBouncer\"", \""config\"", \""files\"", 0, \""downwardAPI\"", \""items\"", 0, \""resourceFieldRef\""]"", ""testcase"": ""object-deletion""}",,message='pod: percona-postgresql-operator-75d79b5f64-qq9cn container [operator] restart_count [1]',,,None,
testrun-2024-02-22-20-06/trial-00-0009/0000,{},,,,,None,
testrun-2024-02-22-20-06/trial-00-0009/0001,"{""field"": ""[\""spec\"", \""proxy\"", \""pgBouncer\"", \""config\"", \""files\"", 0, \""downwardAPI\"", \""items\"", 0, \""resourceFieldRef\""]"", ""testcase"": ""object-empty""}",,,,,None,
testrun-2024-02-22-20-06/trial-00-0009/0002,"{""field"": """", ""testcase"": ""revert""}",,message='pod: percona-postgresql-operator-75d79b5f64-bck7h container [operator] restart_count [1]',,,None,
testrun-2024-02-22-20-06/trial-00-0010/0000,{},,,,,None,
testrun-2024-02-22-20-06/trial-00-0010/0001,"{""field"": ""[\""spec\"", \""dataSource\"", \""pgbackrest\"", \""configuration\"", 0, \""downwardAPI\""]"", ""testcase"": ""object-deletion""}",,message='pod: percona-postgresql-operator-75d79b5f64-7fccl container [operator] restart_count [1]',,,None,
testrun-2024-02-22-20-06/trial-00-0011/0000,{},,,,,None,
testrun-2024-02-22-20-06/trial-00-0011/0001,"{""field"": ""[\""spec\"", \""dataSource\"", \""pgbackrest\"", \""configuration\"", 0, \""downwardAPI\""]"", ""testcase"": ""object-empty""}",,message='pod: percona-postgresql-operator-75d79b5f64-h8bfs container [operator] restart_count [1]',,,None,
testrun-2024-02-22-20-06/trial-00-0012/0000,{},,,,,None,
testrun-2024-02-22-20-06/trial-00-0012/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""repos\"", 0, \""s3\"", \""bucket\""]"", ""testcase"": ""string-deletion""}",,message='pod: percona-postgresql-operator-75d79b5f64-rfwss container [operator] restart_count [1]',,,None,
testrun-2024-02-22-20-06/trial-00-0013/0000,{},,,,,None,
testrun-2024-02-22-20-06/trial-00-0013/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""repos\"", 0, \""s3\"", \""bucket\""]"", ""testcase"": ""string-change""}",,message='pod: percona-postgresql-operator-75d79b5f64-tctvg container [operator] restart_count [1]',,,None,
testrun-2024-02-22-20-06/trial-00-0014/0000,{},,,,,None,
testrun-2024-02-22-20-06/trial-00-0014/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""repos\"", 0, \""s3\"", \""bucket\""]"", ""testcase"": ""string-empty""}",,message='pod: percona-postgresql-operator-75d79b5f64-dfq4t container [operator] restart_count [1]',,,None,
testrun-2024-02-22-20-06/trial-00-0015/0000,{},,,,,None,
testrun-2024-02-22-20-06/trial-00-0015/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""repos\"", 0, \""volume\"", \""volumeClaimSpec\"", \""resources\"", \""claims\"", 0]"", ""testcase"": ""object-deletion""}",,message='pod: percona-postgresql-operator-75d79b5f64-mvbrm container [operator] restart_count [1]',,,None,
