Trial number,Testcase,Alarm,Crash,Health,Operator log,Consistency,Differential,Custom
testrun-2024-02-23-14-39/trial-00-0000/0000,{},False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0000/0001,"{""field"": ""[\""spec\"", \""tiflash\"", \""additionalContainers\"", 0, \""livenessProbe\"", \""grpc\""]"", ""testcase"": ""k8s-invalid_grpc_action""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0000/0002,"{""field"": ""[\""spec\"", \""tidb\"", \""service\"", \""labels\""]"", ""testcase"": ""object-deletion""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr='ACTOKEY', path=[""spec"", ""tidb"", ""service"", ""labels"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-02-23-14-39/trial-00-0001/0000,{},False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0001/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""service\"", \""labels\""]"", ""testcase"": ""object-empty""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0001/0002,"{""field"": ""[\""spec\"", \""pdms\"", 0, \""initContainers\"", 0, \""startupProbe\"", \""grpc\""]"", ""testcase"": ""k8s-invalid_grpc_action""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0001/0003,"{""field"": ""[\""spec\"", \""tiproxy\"", \""topologySpreadConstraints\"", 0, \""topologyKey\""]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0001/0004,"{""field"": ""[\""spec\"", \""tiproxy\"", \""topologySpreadConstraints\"", 0, \""topologyKey\""]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0001/0005,"{""field"": ""[\""spec\"", \""tiproxy\"", \""topologySpreadConstraints\"", 0, \""topologyKey\""]"", ""testcase"": ""string-change""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0001/0006,"{""field"": ""[\""spec\"", \""tiproxy\"", \""topologySpreadConstraints\"", 0, \""topologyKey\""]"", ""testcase"": ""string-empty""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0001/0007,"{""field"": ""[\""spec\"", \""pdms\"", 0, \""additionalContainers\""]"", ""testcase"": ""array-deletion""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0001/0008,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0001/0009,"{""field"": ""[\""spec\"", \""pdms\"", 0, \""additionalContainers\""]"", ""testcase"": ""array-push""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0001/0010,"{""field"": ""[\""spec\"", \""pdms\"", 0, \""additionalContainers\""]"", ""testcase"": ""array-push""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0001/0011,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0002/0000,{},False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0002/0001,"{""field"": ""[\""spec\"", \""pdms\"", 0, \""additionalContainers\""]"", ""testcase"": ""array-pop""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0002/0002,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0003/0000,{},False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0003/0001,"{""field"": ""[\""status\"", \""pd\"", \""peerMembers\"", \""ACTOKEY\"", \""lastTransitionTime\""]"", ""testcase"": ""string-change""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0003/0002,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0003/0003,"{""field"": ""[\""status\"", \""pd\"", \""peerMembers\"", \""ACTOKEY\"", \""lastTransitionTime\""]"", ""testcase"": ""string-empty""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0003/0004,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0003/0005,"{""field"": ""[\""spec\"", \""tikv\"", \""storageVolumes\"", 0]"", ""testcase"": ""object-deletion""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0003/0006,"{""field"": ""[\""spec\"", \""tikv\"", \""storageVolumes\"", 0]"", ""testcase"": ""object-deletion""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0003/0007,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0003/0008,"{""field"": ""[\""spec\"", \""tikv\"", \""storageVolumes\"", 0]"", ""testcase"": ""object-empty""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0003/0009,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-00-0004/0000,{},False,,,,,None,
