Trial number,Testcase,Alarm,Crash,Health,Operator log,Consistency,Differential,Custom
testrun-2024-03-06-11-23/trial-00-0000/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0000/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalContainers\"", 0, \""startupProbe\""]"", ""testcase"": ""k8s-http_probe""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0000/0002,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0000/0003,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalContainers\"", 0, \""startupProbe\""]"", ""testcase"": ""k8s-tcp_probe""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0000/0004,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalContainers\"", 0, \""startupProbe\""]"", ""testcase"": ""k8s-exec_probe""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0000/0005,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalVolumes\"", 0, \""cinder\"", \""secretRef\"", \""name\""]"", ""testcase"": ""invalid-name""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0000/0006,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalVolumes\"", 0, \""downwardAPI\"", \""items\"", 0, \""resourceFieldRef\"", \""divisor\""]"", ""testcase"": ""k8s-quantity_increase""}",False,,,"message='Invalid input detected' responsible_property=[""spec"", ""tidb"", ""additionalVolumes"", 0, ""downwardAPI"", ""items"", 0, ""resourceFieldRef"", ""resource""]",,None,
testrun-2024-03-06-11-23/trial-00-0000/0007,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0000/0008,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalVolumes\"", 0, \""downwardAPI\"", \""items\"", 0, \""resourceFieldRef\"", \""divisor\""]"", ""testcase"": ""k8s-quantity_decrease""}",False,,,"message='Invalid input detected' responsible_property=[""spec"", ""tidb"", ""additionalVolumes"", 0, ""downwardAPI"", ""items"", 0, ""resourceFieldRef"", ""resource""]",,None,
testrun-2024-03-06-11-23/trial-00-0000/0009,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0001/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0001/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""slowLogTailer\"", \""limits\"", \""ACTOKEY\""]"", ""testcase"": ""integer-deletion""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr=3, path=[""spec"", ""tidb"", ""slowLogTailer"", ""limits"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-03-06-11-23/trial-00-0002/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0002/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""slowLogTailer\"", \""limits\"", \""ACTOKEY\""]"", ""testcase"": ""integer-change""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr=2, path=[""spec"", ""tidb"", ""slowLogTailer"", ""limits"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-03-06-11-23/trial-00-0003/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0003/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""slowLogTailer\"", \""limits\"", \""ACTOKEY\""]"", ""testcase"": ""string-deletion""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr='474726.15242u', path=[""spec"", ""tidb"", ""slowLogTailer"", ""limits"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-03-06-11-23/trial-00-0004/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0004/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""slowLogTailer\"", \""limits\"", \""ACTOKEY\""]"", ""testcase"": ""string-change""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr='.0724350496', path=[""spec"", ""tidb"", ""slowLogTailer"", ""limits"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-03-06-11-23/trial-00-0005/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0006/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0006/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""hostNetwork\""]"", ""testcase"": ""boolean-toggle-on""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0006/0002,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalContainers\"", 0, \""env\"", 0, \""valueFrom\"", \""resourceFieldRef\"", \""divisor\""]"", ""testcase"": ""k8s-quantity_increase""}",False,,,"message='Invalid input detected' responsible_property=[""spec"", ""tidb"", ""additionalContainers"", 0, ""env"", 0, ""valueFrom"", ""resourceFieldRef"", ""resource""]",,None,
testrun-2024-03-06-11-23/trial-00-0006/0003,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0006/0004,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalContainers\"", 0, \""env\"", 0, \""valueFrom\"", \""resourceFieldRef\"", \""divisor\""]"", ""testcase"": ""k8s-quantity_decrease""}",False,,,"message='Invalid input detected' responsible_property=[""spec"", ""tidb"", ""additionalContainers"", 0, ""env"", 0, ""valueFrom"", ""resourceFieldRef"", ""resource""]",,None,
testrun-2024-03-06-11-23/trial-00-0006/0005,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0006/0006,"{""field"": ""[\""spec\"", \""tidb\"", \""tlsClient\""]"", ""testcase"": ""object-deletion""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0006/0007,"{""field"": ""[\""spec\"", \""tidb\"", \""tlsClient\""]"", ""testcase"": ""object-deletion""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0006/0008,"{""field"": ""[\""spec\"", \""tidb\"", \""initContainers\"", 0, \""resources\""]"", ""testcase"": ""invalid-resourceRequirements""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0006/0009,"{""field"": ""[\""spec\"", \""tidb\"", \""initContainers\"", 0, \""resources\""]"", ""testcase"": ""resourceRequirements-change""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0007/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0007/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalContainers\"", 0, \""resources\"", \""requests\"", \""ACTOKEY\""]"", ""testcase"": ""k8s-quantity_increase""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr='2000m', path=[""spec"", ""tidb"", ""additionalContainers"", 0, ""resources"", ""requests"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-03-06-11-23/trial-00-0008/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0008/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalContainers\"", 0, \""resources\"", \""requests\"", \""ACTOKEY\""]"", ""testcase"": ""k8s-quantity_decrease""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr='1000m', path=[""spec"", ""tidb"", ""additionalContainers"", 0, ""resources"", ""requests"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-03-06-11-23/trial-00-0009/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0009/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""initContainers\"", 0, \""lifecycle\"", \""postStart\"", \""httpGet\"", \""httpHeaders\"", 0, \""name\""]"", ""testcase"": ""invalid-name""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0010/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0010/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""initContainers\"", 0, \""resources\"", \""requests\"", \""ACTOKEY\""]"", ""testcase"": ""k8s-quantity_decrease""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr='1000m', path=[""spec"", ""tidb"", ""initContainers"", 0, ""resources"", ""requests"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-03-06-11-23/trial-00-0011/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0011/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""initContainers\"", 0, \""env\"", 0, \""valueFrom\"", \""configMapKeyRef\"", \""name\""]"", ""testcase"": ""invalid-name""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0011/0002,"{""field"": ""[\""spec\"", \""tidb\"", \""service\"", \""loadBalancerSourceRanges\""]"", ""testcase"": ""array-deletion""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0011/0003,"{""field"": ""[\""spec\"", \""tidb\"", \""service\"", \""loadBalancerSourceRanges\""]"", ""testcase"": ""array-deletion""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0011/0004,"{""field"": ""[\""spec\"", \""tidb\"", \""service\"", \""loadBalancerSourceRanges\""]"", ""testcase"": ""array-push""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0011/0005,"{""field"": ""[\""spec\"", \""tidb\"", \""service\"", \""loadBalancerSourceRanges\""]"", ""testcase"": ""array-pop""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0011/0006,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalVolumes\"", 0, \""downwardAPI\"", \""items\"", 0, \""fieldRef\"", \""apiVersion\""]"", ""testcase"": ""k8s-change_api_version""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0011/0007,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalVolumes\"", 0, \""ephemeral\"", \""volumeClaimTemplate\"", \""spec\"", \""resources\"", \""requests\"", \""ACTOKEY\""]"", ""testcase"": ""k8s-quantity_increase""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr='2000m', path=[""spec"", ""tidb"", ""additionalVolumes"", 0, ""ephemeral"", ""volumeClaimTemplate"", ""spec"", ""resources"", ""requests"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-03-06-11-23/trial-00-0012/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0012/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalVolumes\"", 0, \""ephemeral\"", \""volumeClaimTemplate\"", \""spec\"", \""resources\"", \""requests\"", \""ACTOKEY\""]"", ""testcase"": ""k8s-quantity_decrease""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr='1000m', path=[""spec"", ""tidb"", ""additionalVolumes"", 0, ""ephemeral"", ""volumeClaimTemplate"", ""spec"", ""resources"", ""requests"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-03-06-11-23/trial-00-0013/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0013/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""initContainers\"", 0, \""resources\"", \""claims\"", 0, \""name\""]"", ""testcase"": ""invalid-name""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0014/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0014/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""topologySpreadConstraints\""]"", ""testcase"": ""array-pop""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr='ACTOKEY', path=[""spec"", ""tidb"", ""topologySpreadConstraints"", 0, ""matchLabels"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-03-06-11-23/trial-00-0015/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0015/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""topologySpreadConstraints\""]"", ""testcase"": ""array-empty""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0015/0002,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalVolumes\"", 0, \""ephemeral\""]"", ""testcase"": ""object-deletion""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr=2, path=[""spec"", ""tidb"", ""additionalVolumes"", 0, ""ephemeral"", ""volumeClaimTemplate"", ""spec"", ""resources"", ""limits"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-03-06-11-23/trial-00-0016/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0016/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalVolumes\"", 0, \""ephemeral\""]"", ""testcase"": ""object-empty""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0016/0002,"{""field"": ""[\""spec\"", \""tidb\"", \""service\"", \""additionalPorts\"", 0, \""name\""]"", ""testcase"": ""invalid-name""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0016/0003,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalContainers\"", 0, \""resources\"", \""claims\"", 0, \""name\""]"", ""testcase"": ""invalid-name""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0016/0004,"{""field"": ""[\""spec\"", \""tidb\"", \""initContainers\"", 0, \""resources\"", \""limits\"", \""ACTOKEY\""]"", ""testcase"": ""k8s-quantity_increase""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr='2000m', path=[""spec"", ""tidb"", ""initContainers"", 0, ""resources"", ""limits"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-03-06-11-23/trial-00-0017/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0017/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""initContainers\"", 0, \""resources\"", \""limits\"", \""ACTOKEY\""]"", ""testcase"": ""k8s-quantity_decrease""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr='1000m', path=[""spec"", ""tidb"", ""initContainers"", 0, ""resources"", ""limits"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-03-06-11-23/trial-00-0018/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0018/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalVolumes\"", 0, \""storageos\"", \""secretRef\"", \""name\""]"", ""testcase"": ""invalid-name""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0018/0002,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalContainers\"", 0, \""livenessProbe\"", \""httpGet\"", \""httpHeaders\"", 0, \""name\""]"", ""testcase"": ""invalid-name""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0019/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0019/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""version\""]"", ""testcase"": ""string-change""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0019/0002,"{""field"": ""[\""spec\"", \""tidb\"", \""version\""]"", ""testcase"": ""string-change""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0019/0003,"{""field"": ""[\""spec\"", \""tidb\"", \""version\""]"", ""testcase"": ""string-empty""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0019/0004,"{""field"": ""[\""spec\"", \""tidb\"", \""maxFailoverCount\""]"", ""testcase"": ""integer-deletion""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0019/0005,"{""field"": ""[\""spec\"", \""tidb\"", \""maxFailoverCount\""]"", ""testcase"": ""integer-deletion""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0019/0006,"{""field"": ""[\""spec\"", \""tidb\"", \""maxFailoverCount\""]"", ""testcase"": ""integer-change""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0019/0007,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalContainers\"", 0, \""livenessProbe\""]"", ""testcase"": ""k8s-http_probe""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0019/0008,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0019/0009,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalContainers\"", 0, \""livenessProbe\""]"", ""testcase"": ""k8s-tcp_probe""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0020/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0020/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalContainers\"", 0, \""livenessProbe\""]"", ""testcase"": ""k8s-exec_probe""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0020/0002,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalVolumeMounts\"", 0, \""name\""]"", ""testcase"": ""invalid-name""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0020/0003,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalContainers\"", 0, \""imagePullPolicy\""]"", ""testcase"": ""k8s-change_image_pull_policy""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0020/0004,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalContainers\"", 0, \""imagePullPolicy\""]"", ""testcase"": ""k8s-invalid_image_pull_policy""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='Always', curr='INVALID_IMAGE_PULL_POLICY', path=[""spec"", ""tidb"", ""additionalContainers"", 0, ""imagePullPolicy""]) system_state_diff=None",None,
testrun-2024-03-06-11-23/trial-00-0021/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0022/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0022/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""tlsClient\"", \""disableClientAuthn\""]"", ""testcase"": ""boolean-toggle-off""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0022/0002,"{""field"": ""[\""spec\"", \""tidb\"", \""tlsClient\"", \""disableClientAuthn\""]"", ""testcase"": ""boolean-toggle-off""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0022/0003,"{""field"": ""[\""spec\"", \""tidb\"", \""tlsClient\"", \""disableClientAuthn\""]"", ""testcase"": ""boolean-toggle-on""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0022/0004,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalVolumes\"", 0, \""scaleIO\"", \""secretRef\"", \""name\""]"", ""testcase"": ""invalid-name""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0022/0005,"{""field"": ""[\""spec\"", \""tidb\"", \""labels\"", \""ACTOKEY\""]"", ""testcase"": ""string-deletion""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr='ACTOKEY', path=[""spec"", ""tidb"", ""labels"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-03-06-11-23/trial-00-0023/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0023/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""labels\"", \""ACTOKEY\""]"", ""testcase"": ""string-change""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr='ACTOKEY', path=[""spec"", ""tidb"", ""labels"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-03-06-11-23/trial-00-0024/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0024/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""labels\"", \""ACTOKEY\""]"", ""testcase"": ""string-empty""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr='', path=[""spec"", ""tidb"", ""labels"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-03-06-11-23/trial-00-0025/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0025/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""initContainers\"", 0, \""startupProbe\"", \""grpc\""]"", ""testcase"": ""k8s-invalid_grpc_action""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0025/0002,"{""field"": ""[\""spec\"", \""tidb\"", \""suspendAction\""]"", ""testcase"": ""object-deletion""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0025/0003,"{""field"": ""[\""spec\"", \""tidb\"", \""suspendAction\""]"", ""testcase"": ""object-deletion""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0025/0004,"{""field"": ""[\""spec\"", \""tidb\"", \""readinessProbe\"", \""periodSeconds\""]"", ""testcase"": ""integer-deletion""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0025/0005,"{""field"": ""[\""spec\"", \""tidb\"", \""readinessProbe\"", \""periodSeconds\""]"", ""testcase"": ""integer-deletion""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-00-0025/0006,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-01-0000/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-01-0000/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""topologySpreadConstraints\"", 0]"", ""testcase"": ""object-deletion""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr='ACTOKEY', path=[""spec"", ""tidb"", ""topologySpreadConstraints"", 0, ""matchLabels"", ""ACTOKEY""]) system_state_diff=None",None,
testrun-2024-03-06-11-23/trial-01-0001/0000,{},False,,,,,None,
testrun-2024-03-06-11-23/trial-01-0001/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""topologySpreadConstraints\"", 0]"", ""testcase"": ""object-empty""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-01-0001/0002,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-01-0001/0003,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalVolumes\""]"", ""testcase"": ""array-deletion""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-01-0001/0004,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-01-0001/0005,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalVolumes\""]"", ""testcase"": ""array-push""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-01-0001/0006,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalVolumes\""]"", ""testcase"": ""array-push""}",False,,,,,None,
testrun-2024-03-06-11-23/trial-01-0001/0007,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
