Trial number,Testcase,Alarm,Crash,Health,Operator log,Consistency,Differential,Custom
testrun-2024-02-23-14-55/trial-00-0000/0000,{},False,,,,,None,
testrun-2024-02-23-14-55/trial-00-0000/0001,"{""field"": ""[\""spec\"", \""tikv\"", \""dataSubDir\""]"", ""testcase"": ""string-deletion""}",True,message='Pod test-cluster-tikv-0 crashed',message='statefulset: test-cluster-tikv replicas [1] ready_replicas [None]',,,None,
testrun-2024-02-23-14-55/trial-00-0001/0000,{},False,,,,,None,
testrun-2024-02-23-14-55/trial-00-0001/0001,"{""field"": ""[\""spec\"", \""tikv\"", \""dataSubDir\""]"", ""testcase"": ""string-change""}",True,message='Pod test-cluster-tikv-0 crashed',message='statefulset: test-cluster-tikv replicas [1] ready_replicas [None]',,,None,
testrun-2024-02-23-14-55/trial-00-0002/0000,{},False,,,,,None,
testrun-2024-02-23-14-55/trial-00-0002/0001,"{""field"": ""[\""spec\"", \""tikv\"", \""dataSubDir\""]"", ""testcase"": ""string-empty""}",False,,,,,None,
testrun-2024-02-23-14-55/trial-00-0002/0002,"{""field"": ""[\""spec\"", \""tidb\"", \""initContainers\"", 0, \""livenessProbe\"", \""successThreshold\""]"", ""testcase"": ""integer-deletion""}",False,,message='statefulset: test-cluster-tidb replicas [0] ready_replicas [None]',"message='Invalid input detected' responsible_property=[""spec"", ""tidb"", ""initContainers"", 0, ""name""]",,None,
testrun-2024-02-23-14-55/trial-00-0003/0000,{},False,,,,,None,
testrun-2024-02-23-14-55/trial-00-0003/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""initContainers\"", 0, \""livenessProbe\"", \""successThreshold\""]"", ""testcase"": ""integer-change""}",False,,message='statefulset: test-cluster-tidb replicas [0] ready_replicas [None]',"message='Invalid input detected' responsible_property=[""spec"", ""tidb"", ""initContainers"", 0, ""name""]",,None,
testrun-2024-02-23-14-55/trial-00-0004/0000,{},False,,,,,None,
testrun-2024-02-23-14-55/trial-00-0004/0001,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalContainers\"", 0, \""securityContext\"", \""runAsGroup\""]"", ""testcase"": ""integer-deletion""}",False,,,message='Invalid input detected' responsible_property=[],,None,
testrun-2024-02-23-14-55/trial-00-0004/0002,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-23-14-55/trial-00-0004/0003,"{""field"": ""[\""spec\"", \""tidb\"", \""additionalContainers\"", 0, \""securityContext\"", \""runAsGroup\""]"", ""testcase"": ""integer-change""}",False,,,message='Invalid input detected' responsible_property=[],,None,
testrun-2024-02-23-14-55/trial-00-0004/0004,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-23-14-55/trial-00-0004/0005,"{""field"": ""[\""spec\"", \""pd\"", \""storageVolumes\"", 0, \""name\""]"", ""testcase"": ""invalid-name""}",False,,,message='Invalid input detected' responsible_property=[],,None,
testrun-2024-02-23-14-55/trial-00-0004/0006,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-23-14-55/trial-00-0004/0007,"{""field"": ""[\""status\"", \""pd\"", \""peerMembers\"", \""ACTOKEY\"", \""id\""]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-02-23-14-55/trial-00-0004/0008,"{""field"": ""[\""status\"", \""pd\"", \""peerMembers\"", \""ACTOKEY\"", \""id\""]"", ""testcase"": ""string-deletion""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='ACTOKEY', curr='', path=[""status"", ""pd"", ""peerMembers"", ""ACTOKEY"", ""id""]) system_state_diff=None",None,
testrun-2024-02-23-14-55/trial-00-0005/0000,{},False,,,,,None,
testrun-2024-02-23-14-55/trial-00-0005/0001,"{""field"": ""[\""status\"", \""pd\"", \""peerMembers\"", \""ACTOKEY\"", \""id\""]"", ""testcase"": ""string-change""}",False,,,,,None,
testrun-2024-02-23-14-55/trial-00-0005/0002,"{""field"": ""[\""status\"", \""pd\"", \""peerMembers\"", \""ACTOKEY\"", \""id\""]"", ""testcase"": ""string-change""}",False,,,,,None,
testrun-2024-02-23-14-55/trial-00-0006/0000,{},False,,,,,None,
testrun-2024-02-23-14-55/trial-00-0006/0001,"{""field"": ""[\""status\"", \""pump\"", \""statefulSet\""]"", ""testcase"": ""object-empty""}",False,,,,,None,
